VERTEXES;EDGES;MAX_WEIGHT;
262144;1015776;262144;

SOURCE;DIJKSTRA;DIALS;RADIX;RADIX_2;
237829;615543;14813780;1691825;610018;
33296;451609;22178623;1838359;629208;
233614;452574;20671602;1731972;616677;
27738;424105;21341574;1699702;602448;
128554;444212;24331329;1672060;615647;
189030;429469;21997088;1720691;598941;
2153;442419;13509388;1678377;638198;
11997;431064;14607914;1677035;617891;
238409;438520;23172661;1708189;633750;
94242;447233;16299191;1722717;626282;
157743;440754;20310277;1728564;618468;
43546;440977;17961665;1656389;632438;
233389;486647;23431491;1681007;626406;
213389;470582;15375783;1654009;623863;
162690;485344;15950587;1700410;659146;
2740;447566;17567413;1681166;611986;
207752;429536;17396206;1686967;605777;
10678;439670;21718901;1671479;593176;
232035;491253;13567356;1638015;614510;
227719;499074;17112221;1680357;627765;
33680;469133;15031766;1683972;633835;
135252;444083;24431084;1680418;634741;
185326;444092;16593219;1666857;585637;
23352;418269;23753455;1673238;618361;
42627;453514;17086612;1673548;596784;
144645;451213;21048660;1629379;614281;
93435;502060;12841914;1668938;610410;
67846;468114;14432862;1694682;594666;
181569;461415;13838023;1661080;644692;
122532;455658;17193010;1740815;609753;
33622;479266;16871716;1658773;627624;
202110;434734;20367374;1672789;618454;
240054;415731;23184941;1702703;623433;
262138;432957;21051759;1632320;599203;
9160;445536;17481549;1753800;625240;
147402;462115;23960376;1717790;623837;
147125;467946;21411933;1608289;611529;
158740;442460;15233648;2173761;808969;
221004;606633;16913680;1692993;615706;
198087;489582;15667883;1660362;625930;
228246;453950;18787708;1716438;598859;
199593;433554;24094564;1642901;637093;
33689;420077;23930457;1690342;651630;
185576;437795;16683795;1706462;634233;
47960;481032;12629073;1699100;613811;
44714;429394;19609017;1713138;636562;
202079;487565;19443119;1642303;626755;
131295;436815;22587766;1715489;618693;
198915;434128;24179954;1686893;618860;
257738;441479;15737255;1720419;610587;
61567;414283;18313252;1718509;628588;
68233;436450;15283203;1651588;646571;
