VERTEXES;EDGES;MAX_WEIGHT;
1048576;4190208;1024;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;RADIX_2;
951313;133183;3208729;926581;4110752;1972484;
934455;110950;28204;17049;47934;23965;
514213;756120;1644513;514213;2020439;953775;
8609;47985;468534;173335;779516;438585;
953635;376966;771275;282466;1115234;532654;
630970;174184;440311;152890;724522;353508;
933555;853556;2833356;956288;4306068;2000667;
650757;10960;2604108;883490;3851931;1820407;
831007;42710;1694464;588153;2438269;1125706;
928139;910876;1213173;513748;1924667;878988;
134718;541006;9151;9268;20541;10540;
741304;93407;1751711;675186;2630675;1226084;
170508;578577;460701;178529;839358;401896;
373739;271383;1903662;625597;2903586;1378065;
726274;490127;2866485;1159501;4201690;2085100;
134487;808440;1916445;674858;2678421;1283575;
960214;1048550;83925;42556;156513;72466;
36638;589606;1103721;467413;1821905;883304;
588500;634958;3061461;995604;4316852;2054160;
884014;792346;2357937;726196;3176324;1536005;
912982;798370;1109651;531005;1852997;832520;
134753;742302;60624;29380;114842;49048;
191838;178856;1590903;686440;2562945;1243174;
808316;525179;1808875;596459;2481360;1215306;
795658;1030951;2112742;690049;2917408;1441731;
246267;272932;2654952;826649;3733945;1775440;
519090;80008;4974;7642;10496;5387;
668519;219375;2960236;1469921;4442189;2035989;
562878;865723;1054633;444591;1715017;783985;
948636;1044106;1901247;889142;3054946;1761485;
752322;110933;884585;314542;1555207;668259;
890572;376485;1563789;551237;2052980;873752;
760109;918584;1072562;416686;1780485;907797;
233514;474721;2270148;722179;3343764;1562414;
954357;262621;1506432;570642;2234180;1057638;
308492;328179;2691390;913282;3932631;1869386;
512197;500817;1161870;498547;1834808;830245;
320781;831713;2557032;896687;3629242;1748722;
328420;548627;2745364;885088;4119681;1955823;
895207;388288;2351940;748631;3342416;1669838;
503211;713860;156349;68416;247699;139885;
412461;232896;1344490;545609;1799980;882797;
318321;781656;638568;220060;1051664;568138;
338333;910653;1014008;353053;1597864;742702;
37670;154705;1658595;481924;2160163;1033255;
530871;31916;2731252;885148;4165115;1881228;
415043;138966;2847325;913488;3919372;1843917;
399201;612981;877693;318027;1423501;649322;
195457;647273;932227;333930;1462201;831132;
519877;51945;1773574;617923;2849324;1343624;
95709;1032096;2772872;1098712;4171034;2010737;
249666;775531;2125056;690564;2945361;1444847;
