VERTEXES;EDGES;MAX_WEIGHT;
1048576;4190208;65536;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;RADIX_2;
951313;133183;2805841;1177422;5462093;2199330;
934455;110950;2831733;1458463;6326777;2559999;
514213;756120;870324;604388;2165495;850771;
8609;47985;1111391;621031;2716082;1051016;
953635;376966;713665;452087;1800117;662267;
630970;174184;2401011;1347571;5521274;2291057;
933555;853556;2661113;1216478;5793687;2293747;
650757;10960;642354;374763;1749071;682617;
831007;42710;2389607;1437930;5566385;2194630;
928139;910876;1891903;826910;3963742;1629798;
134718;541006;2293965;1173981;4926271;1956913;
741304;93407;811626;508215;2121684;776980;
170508;578577;988030;507729;2430412;908413;
373739;271383;745331;382655;1860483;706584;
726274;490127;2869156;1468926;6576513;2618101;
134487;808440;2096004;1027585;4468128;1861663;
960214;1048550;870956;558444;2114116;825616;
36638;589606;1992936;1105793;4572359;1888513;
588500;634958;2922617;1409738;6358306;2582346;
884014;792346;1625271;835170;3574369;1490662;
912982;798370;2867857;1348210;6299896;2507089;
134753;742302;348941;252075;937886;407851;
191838;178856;1984319;1016270;4635854;2273919;
808316;525179;2932888;1162097;5539475;2274498;
795658;1030951;2648786;1377895;6016883;2424178;
246267;272932;653373;331309;1583499;599690;
519090;80008;534888;317110;1274861;564064;
668519;219375;2995572;1413975;6739253;2608481;
562878;865723;2018477;827080;4049025;1657073;
948636;1044106;2756452;1206443;5867370;2377390;
752322;110933;1062598;724346;2429988;1002836;
890572;376485;1965791;948917;4178842;1658106;
760109;918584;2596083;1236049;5722718;2347104;
233514;474721;2661582;1300231;5839446;2357547;
954357;262621;2032475;1030842;4480534;1780364;
308492;328179;2044336;936069;4211564;1777750;
512197;500817;345586;216071;934654;404431;
320781;831713;2195467;1112192;5208681;2030623;
328420;548627;1112538;887128;2685662;1074460;
895207;388288;386555;235839;1032694;395004;
503211;713860;2706103;1415640;6460251;2586049;
412461;232896;534679;288057;1352117;558173;
318321;781656;2830233;1493573;6665491;3714209;
338333;910653;3362062;1538823;5426233;2151340;
37670;154705;762168;426112;1950884;766555;
530871;31916;463118;307551;1170297;523236;
415043;138966;246244;158357;493083;195426;
399201;612981;447238;258274;1085684;420915;
195457;647273;1111865;668602;2781137;1078901;
519877;51945;490605;284686;1291231;442148;
95709;1032096;693112;377311;1672460;681134;
249666;775531;2579777;1215957;5761481;2223710;
