VERTEXES;EDGES;MAX_WEIGHT;
1048576;4190208;16384;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;RADIX_2;
951313;133183;896840;377718;1839319;773374;
934455;110950;1135852;427696;2899490;1342449;
514213;756120;3812789;1386715;5678083;2400812;
8609;47985;2615431;950068;5149324;2274177;
953635;376966;3037380;1115323;5865243;2505219;
630970;174184;2789992;1006552;5338943;2317066;
933555;853556;162412;80660;353429;148844;
650757;10960;1555248;652458;3004918;1277989;
831007;42710;986185;504600;2201566;894743;
928139;910876;2649201;990701;5274227;2196139;
134718;541006;1603367;640688;3122120;1338268;
741304;93407;2661716;965658;5255552;2236215;
170508;578577;1937105;734789;3780812;1606730;
373739;271383;3045192;1105623;5915058;2556402;
726274;490127;1499302;646162;3295689;1350385;
134487;808440;2524436;950522;4977301;2173553;
960214;1048550;1817948;641541;3492336;1537840;
36638;589606;458221;200212;1125543;458931;
588500;634958;718144;299436;1607808;669902;
884014;792346;1588855;583738;3130892;1433859;
912982;798370;2584231;988491;5515277;2235594;
134753;742302;2321560;808266;4397163;1894651;
191838;178856;1120349;600597;2333854;976369;
808316;525179;842325;344693;1817931;715101;
795658;1030951;2877436;1134764;5939740;2451059;
246267;272932;647999;269457;1563347;601899;
519090;80008;925748;391657;2051635;947345;
668519;219375;2416613;903069;4953426;2070496;
562878;865723;717397;286285;1697931;668779;
948636;1044106;2758996;1268310;5936517;2506439;
752322;110933;1999396;732579;3787347;1697213;
890572;376485;862870;379826;2002968;790737;
760109;918584;1813439;798614;3927850;1636515;
233514;474721;1396955;609428;2672842;1118707;
954357;262621;345285;146022;721199;389885;
308492;328179;765311;332019;1562497;644736;
512197;500817;622024;273260;1552812;614256;
320781;831713;445702;202706;1020811;436169;
328420;548627;1886977;737053;3914545;1656713;
895207;388288;2561778;964936;5191106;2219165;
503211;713860;1733044;645182;3418786;1433154;
412461;232896;1994510;724581;3879814;1640406;
318321;781656;2775068;919652;5148712;2249810;
338333;910653;238076;104711;496929;212994;
37670;154705;1724449;559193;3144063;1347055;
530871;31916;1052145;630533;2294153;979601;
415043;138966;93142;56754;237713;98302;
399201;612981;2265884;800665;4388082;1864414;
195457;647273;2702571;1052471;5478081;2355730;
519877;51945;624494;268003;1519128;625662;
95709;1032096;2369123;871001;4878208;1991665;
249666;775531;2229671;810396;4100579;1776050;
