VERTEXES;EDGES;MAX_WEIGHT;
16384;63456;16384;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;RADIX_2;
14865;2081;30758;110100;112667;38434;
14601;1734;11178;11341;14794;5266;
8035;11815;24153;70543;79742;27762;
135;750;7513;15817;21335;9405;
14901;5891;2089;5454;6667;2857;
9859;2722;23765;96767;77763;33503;
14587;13337;23598;49415;68743;28209;
10169;172;18327;59891;47561;17826;
12985;668;9239;25118;36452;12681;
14503;14233;23397;70460;72821;26831;
2105;8454;16312;55493;60243;26029;
11583;1460;5992;13003;18513;6701;
2665;9041;707;2426;2505;870;
5840;4241;19878;56697;62207;21618;
11349;7659;6979;22153;23701;9484;
2102;12632;19338;75299;58672;22386;
15004;16384;7962;18211;21725;8491;
573;9213;1882;5090;6436;2548;
9196;9922;1483;3853;4675;2013;
13813;12381;24210;45834;69015;27362;
14266;12475;17544;45358;52027;23149;
2106;11599;1725;4634;5235;1816;
2998;2795;11555;32575;40877;16323;
12630;8206;15215;48340;45539;18819;
12433;16109;13529;28755;39584;16767;
3848;4265;1165;3196;2981;1232;
8111;1251;3331;8315;10589;5052;
10446;3428;21767;53658;65106;21874;
8795;13527;10164;21140;30537;12709;
14823;16315;16320;34474;47235;17762;
11756;1734;14714;32986;46994;18766;
13916;5883;24476;80483;80276;27105;
11877;14353;234;1483;783;338;
3649;7418;10608;25561;40569;17272;
14912;4104;12342;22581;34755;14995;
4821;5128;19285;55595;59470;24297;
8004;7826;16268;67107;48786;21004;
5013;12996;3423;8858;9268;3566;
5132;8573;21733;45612;65494;27498;
13988;6067;10619;44841;41399;15967;
7863;11155;4920;14002;16579;6221;
6445;3639;7578;16626;22923;9487;
4974;12214;11382;24529;28581;10862;
5287;14229;19243;40253;63401;28264;
589;2418;7421;15889;18758;7546;
8295;499;7380;17597;19569;7952;
6486;2172;12876;30443;45310;16770;
6238;9578;5696;13639;19699;8692;
3055;10114;10678;24718;33296;13537;
8124;812;8327;20771;31281;12064;
1496;16127;10929;40875;40867;15472;
3902;12118;16635;52156;51489;20973;
