VERTEXES;EDGES;MAX_WEIGHT;
32768;126944;32768;

SOURCE;DIJKSTRA;DIALS;RADIX;RADIX_2;
29729;54418;262048;179949;65308;
4162;47981;206307;158347;63342;
29202;49015;249126;165223;64321;
3468;47417;283466;169671;63085;
16070;45922;259263;149101;63063;
23629;45158;239534;170927;63654;
270;52233;185271;150378;56392;
1500;43288;308184;167114;59794;
29802;46096;234745;161015;61175;
11781;96407;334725;187792;127549;
19718;84666;354777;180417;88096;
5444;76561;479542;192094;69383;
29174;50816;282725;161846;65146;
26674;55809;242720;159968;60699;
20337;48388;305552;165883;66642;
343;41210;326464;167947;58734;
25969;50932;210596;173810;70127;
1335;56939;209379;159469;59494;
29005;44324;349789;169204;61569;
28465;47573;266222;158665;63243;
4210;47269;288374;160219;61167;
16907;47685;244702;157183;58998;
23166;48710;292488;164030;61202;
2919;50782;310832;171351;66743;
5329;43432;288022;164490;60105;
18081;53208;226176;167689;67071;
11680;47684;343160;159429;56478;
8481;46903;286214;172192;65494;
22697;46849;268179;161198;65758;
15317;51353;211200;169081;65104;
4203;46179;263055;164237;68860;
25264;46128;270282;188605;57192;
30007;49881;203864;167590;59974;
32768;48623;313677;175056;69746;
1145;49677;297505;162785;72621;
18426;52060;266037;159576;70905;
18391;55254;291746;172595;53064;
19843;46142;308029;156420;64411;
27626;50416;272775;159488;66605;
24761;63986;212713;172651;58947;
28531;41274;243120;164631;56672;
24950;50148;336003;164699;63289;
4212;49645;315261;167681;66160;
23197;50988;347194;156124;56461;
5995;45214;280909;150547;62163;
5590;43300;306400;170714;66862;
25260;52726;219639;157299;63723;
16412;52558;182204;163781;65549;
24865;52596;246823;162586;64023;
32218;49786;252224;153705;63433;
7696;48042;225955;168859;61831;
8530;47087;263764;170045;66713;
