1;36
1001;34
2001;34
3001;34
4001;34
5001;34
6001;41
7001;38
8001;34
9001;34
10001;34
11001;35
12001;35
13001;37
14001;35
15001;39
16001;40
17001;41
18001;42
19001;43
20001;39
21001;40
22001;40
23001;41
24001;42
25001;41
26001;43
27001;43
28001;42
29001;41
30001;43
31001;44
32001;43
33001;44
34001;42
35001;43
36001;47
37001;43
38001;42
39001;41
40001;44
41001;42
42001;43
43001;42
44001;44
45001;46
46001;44
47001;42
48001;43
49001;44
50001;42
51001;42
52001;42
53001;47
54001;43
55001;47
56001;44
57001;44
58001;43
59001;44
60001;43
61001;43
62001;44
63001;44
64001;44
65001;45
66001;45
67001;46
68001;45
69001;45
70001;45
71001;42
72001;54
73001;44
74001;64
75001;45
76001;45
77001;44
78001;47
79001;44
80001;44
81001;45
82001;44
83001;47
84001;46
85001;46
86001;44
87001;44
88001;47
89001;43
90001;50
91001;43
92001;44
93001;44
94001;46
95001;43
96001;44
97001;46
98001;43
99001;44
100001;36
101001;34
102001;40
103001;41
104001;43
105001;43
106001;43
107001;46
108001;47
109001;45
110001;45
111001;44
112001;48
113001;52
114001;77
115001;49
116001;65
117001;65
118001;50
119001;52
120001;54
121001;51
122001;54
123001;52
124001;54
125001;55
126001;54
127001;55
128001;56
129001;55
130001;57
131001;55
132001;61
133001;55
134001;59
135001;59
136001;73
137001;61
138001;81
139001;75
140001;58
141001;56
142001;57
143001;73
144001;79
145001;99
146001;82
147001;67
148001;65
149001;68
150001;86
151001;80
152001;93
153001;84
154001;85
155001;82
156001;82
157001;65
158001;94
159001;89
160001;85
161001;86
162001;84
163001;84
164001;99
165001;74
