VERTEXES;EDGES;MAX_WEIGHT;
1048576;4063200;16384;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;RADIX_2;
951313;133183;838448;2393756;2310109;930956;
934455;110950;1171672;2413830;3409869;1361875;
514213;756120;1785970;4482770;5103748;2078625;
8609;47985;1665440;5220893;4814951;1961667;
953635;376966;1778627;4193746;5077973;2086921;
630970;174184;1774849;3928072;5033183;2020452;
933555;853556;397940;813179;1278230;481019;
650757;10960;1403264;2871159;4031089;1651289;
831007;42710;965106;2470463;2868963;1130796;
928139;910876;1166634;3896547;3480349;1388732;
134718;541006;670765;1450324;1962789;757925;
741304;93407;478269;912711;1488096;551505;
170508;578577;465895;1561794;1547513;605356;
373739;271383;1712055;4982267;5169665;2113093;
726274;490127;126932;322559;361828;150928;
134487;808440;1570136;5195403;4620408;1888534;
960214;1048550;1324666;2729922;3845746;1577416;
36638;589606;826373;1711824;2364183;978425;
588500;634958;1316158;2996681;3796659;1563178;
884014;792346;728497;2383995;2225119;918324;
912982;798370;294795;552511;934733;364134;
134753;742302;1033227;1920013;3071790;1165261;
191838;178856;614458;1217890;1923235;742164;
808316;525179;259787;509590;784549;293109;
795658;1030951;1556539;4673609;4370868;1717853;
246267;272932;890570;1782077;2462721;1029505;
519090;80008;866997;3360447;2692847;1094010;
668519;219375;1191472;4420749;3701984;1489101;
562878;865723;210166;420875;680535;320144;
948636;1044106;1536217;5368202;4737602;1851069;
752322;110933;1520257;3881746;4387975;1760932;
890572;376485;735476;1652778;2183099;875663;
760109;918584;891462;3141225;2726492;1110977;
233514;474721;423552;1055696;1238209;501592;
954357;262621;593742;1164389;1806575;741261;
308492;328179;117759;230097;356256;136793;
512197;500817;706125;1903985;2170579;827333;
320781;831713;699944;1634050;2248579;849030;
328420;548627;533747;1510093;1743092;635178;
895207;388288;132279;265991;409136;171798;
503211;713860;1281605;3294927;3836356;1569578;
412461;232896;1258533;2995237;4065332;1551166;
318321;781656;1625819;3905863;4525057;1874822;
338333;910653;458721;944041;1440546;568200;
37670;154705;1401385;2874797;4099279;1658879;
530871;31916;360122;662960;1133114;405020;
415043;138966;293645;877739;880654;367784;
399201;612981;362480;713225;1189098;426755;
195457;647273;1220826;4472011;3784308;1568765;
519877;51945;94574;182049;252616;119054;
95709;1032096;1924045;4182825;5242767;2180253;
249666;775531;460016;918118;1381183;527013;
