VERTEXES;EDGES;MAX_WEIGHT;
1048576;4063200;256;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;RADIX_2;
951313;133183;1875848;880547;3417190;1684799;
934455;110950;134963;63871;269023;125362;
514213;756120;633418;311674;1369404;632661;
8609;47985;1269781;644234;2769500;1310379;
953635;376966;432917;232388;891495;423963;
630970;174184;485760;339451;1013125;415893;
933555;853556;1582627;746597;3329905;1790586;
650757;10960;1966939;901639;3305318;1576112;
831007;42710;1596894;780991;3072642;1451088;
928139;910876;1312615;718034;2543031;1271824;
134718;541006;1874305;803695;3419975;1707905;
741304;93407;560616;273822;1295148;587581;
170508;578577;121110;64096;251885;116018;
373739;271383;1688815;774599;3403167;1618889;
726274;490127;577561;282824;1356985;595605;
134487;808440;1463384;710281;3133444;1516875;
960214;1048550;497105;249882;1027233;575526;
36638;589606;28338;17957;57463;29686;
588500;634958;1076339;520522;2083629;1223218;
884014;792346;944622;568144;2108969;998181;
912982;798370;1211601;586403;2466345;1309280;
134753;742302;1326727;625408;2650809;1437757;
191838;178856;334711;156760;658056;336225;
808316;525179;1000464;521290;2250987;1057425;
795658;1030951;946174;456718;1949504;905517;
246267;272932;983133;481697;2163931;1043295;
519090;80008;1312229;608365;2704962;1268255;
668519;219375;1615593;775177;3371535;1652073;
562878;865723;1687207;838672;3306846;1611514;
948636;1044106;463098;223196;1091076;479789;
752322;110933;120140;47519;172806;95553;
890572;376485;49558;27869;95358;50423;
760109;918584;192196;99607;392006;195178;
233514;474721;1425889;695175;3162962;1576066;
954357;262621;989676;577006;2045407;980654;
308492;328179;1439914;834489;2968761;1448771;
512197;500817;740768;355164;1637816;731499;
320781;831713;762273;353792;1533873;888546;
328420;548627;1355429;713030;2986160;1452910;
895207;388288;158354;81159;310317;170466;
503211;713860;105264;57879;206346;102510;
412461;232896;737329;358489;1690042;742263;
318321;781656;1328851;705441;2880082;1346162;
338333;910653;1181255;536022;2509956;1143199;
37670;154705;800026;374170;1727191;789020;
530871;31916;517347;235521;995455;491471;
415043;138966;344441;151548;733329;392973;
399201;612981;160541;82158;331643;155599;
195457;647273;1560627;767346;3307439;1569824;
519877;51945;1844323;922703;3621838;1791091;
95709;1032096;787532;370742;1708361;804111;
249666;775531;1543747;774602;3406884;1585388;
