VERTEXES;EDGES;MAX_WEIGHT;
1048576;4063200;1;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;
951313;133183;2021185;681694;1196574;
934455;110950;96712;54213;169099;
514213;756120;2004182;784275;1864093;
8609;47985;16311;10971;25040;
953635;376966;1974529;1061065;2335879;
630970;174184;2210724;1369338;1715877;
933555;853556;1233090;855555;1903867;
650757;10960;2388464;1099070;2339824;
831007;42710;3190591;1349367;2681936;
928139;910876;1308051;615470;1511757;
134718;541006;852779;428095;873566;
741304;93407;36329;19169;45589;
170508;578577;1600987;801169;2029449;
373739;271383;437455;225598;518404;
726274;490127;1345252;657620;1676753;
134487;808440;1539237;765146;1830678;
960214;1048550;656871;308288;765665;
36638;589606;1208420;585945;1515736;
588500;634958;136733;77575;165424;
884014;792346;1124654;627760;985190;
912982;798370;146430;74854;184857;
134753;742302;1301637;847982;1464585;
191838;178856;2394770;1052784;1726022;
808316;525179;1018264;509720;1319717;
795658;1030951;586189;305023;622662;
246267;272932;180032;90893;222543;
519090;80008;1469667;884488;2043891;
668519;219375;2415159;1500794;2538271;
562878;865723;1308960;693730;1481667;
948636;1044106;1135473;563700;1637315;
752322;110933;970255;315666;710355;
890572;376485;2070110;1022285;2355554;
760109;918584;779970;378135;962765;
233514;474721;636826;329401;794507;
954357;262621;966813;469720;1110120;
308492;328179;468729;238170;549440;
512197;500817;1558006;765010;1723665;
320781;831713;987442;725743;1242101;
328420;548627;1327533;713197;1281137;
895207;388288;1471973;749045;1470576;
503211;713860;493031;240782;562881;
412461;232896;2016462;958785;1928650;
318321;781656;1540212;1252005;1661382;
338333;910653;667033;417822;852886;
37670;154705;1731422;919456;1730470;
530871;31916;1307504;905331;1620364;
415043;138966;947785;573817;1521034;
399201;612981;245631;133220;271698;
195457;647273;1508355;531390;1782067;
519877;51945;1900347;722433;1524736;
95709;1032096;2522739;860388;2014478;
249666;775531;650645;353139;780732;
75413;500578;1108319;558927;1118302;
694295;981198;1563988;735008;2241233;
562791;444967;6964;4770;10428;
613559;383585;650134;369765;759853;
828949;599964;972727;482205;1176693;
31216;251061;1456330;738096;1866225;
935482;971440;759519;462568;1029828;
541401;694744;119639;74212;133936;
417459;662256;1840211;884082;2324021;
831550;687364;115037;110678;206547;
28530;330862;3222861;1377135;2345587;
179070;247036;1872994;1060705;2273812;
809297;633038;465623;263966;508235;
428586;210655;2122012;1451650;3029372;
699004;40649;1086967;1081917;1191060;
978506;830746;2893030;1028091;1587171;
328521;770922;897560;481310;955127;
320564;334653;1220421;627177;1196920;
405990;800145;648135;357532;754950;
181719;993710;227592;113821;278090;
16636;481425;1337977;630181;1520779;
215280;77802;1433613;707616;1593174;
977779;813735;901388;438713;1132692;
699672;300226;192643;91626;215103;
260544;23245;199068;100857;227242;
631961;693792;404055;181278;459418;
163757;252867;231755;108106;261609;
41753;753966;1881414;872890;2102159;
755793;326523;505325;242029;575738;
48000;461910;417682;208511;490495;
556279;94969;209773;98926;239006;
833328;500313;1395420;731372;1983526;
507613;550502;2540359;1111515;2348479;
489354;595167;122157;63261;150177;
591715;236698;24854;15494;31142;
795596;831779;68151;43832;78305;
520666;181137;2000963;981778;3014067;
1017049;108294;494493;209685;524495;
694859;776467;1751678;795730;1919802;
57852;454039;378805;171474;431499;
245941;407509;1829068;863032;1840477;
170426;156732;550280;272350;695484;
976096;85351;246650;115180;287806;
46032;798971;1419186;745183;1478000;
71560;725219;1216359;549376;1182558;
338429;188147;1339350;628738;1604776;
184012;436454;1413185;708949;1483692;
18354;1005544;28190;15122;32032;
665835;146776;2019252;947062;2309108;
469465;234717;1237801;567515;1089210;
931328;1043142;1524125;792226;1525830;
867030;335883;789589;397946;969927;
254733;304506;1163673;689686;1352841;
518259;1036820;659267;355387;674368;
326359;1001009;1618023;910814;1444412;
25831;354596;1342469;635270;1737327;
436006;519498;397690;190489;445342;
978484;313048;1547502;760792;1784166;
816042;890744;892931;456143;887775;
588556;400622;42879;24275;59037;
52851;892024;953122;451905;1165128;
77573;503180;1576196;767933;1869425;
419058;168186;1681815;750500;1682503;
572512;382350;412492;193224;485444;
314314;564460;1196132;553441;1332967;
509077;455292;1691507;958779;1871550;
859934;195188;436343;208660;500339;
97807;765470;35987;22036;61018;
228599;423035;1598337;787754;1859055;
248005;189212;520829;249730;601949;
223031;4416;1104466;570010;1225275;
856352;490766;1327050;642089;1675620;
426739;365159;931332;482355;913973;
642148;622177;413175;215214;404462;
938873;674878;1705776;838316;1699992;
106527;658388;154156;75410;180774;
408609;556362;1691339;836637;1576321;
445003;955337;262493;130097;307995;
1001721;227825;1629955;888489;1742843;
935613;1029043;1260555;646378;1400867;
212907;434708;642328;316480;745879;
23306;357047;1437223;692990;1767834;
52096;549758;33370;20100;42092;
379275;72481;1031553;524596;1075188;
785694;456881;957796;592588;966420;
676151;786380;1539093;741398;2037674;
119986;578337;2022370;923229;2001951;
522221;893805;320585;147400;373451;
812903;435966;58706;30911;95850;
838285;6605;997951;480425;898747;
60330;397518;54630;29322;80164;
353894;617041;1680165;806480;1592446;
1005143;933547;800919;394006;1003552;
992752;1035201;50903;27295;93546;
670247;236412;51546;26578;62351;
316253;366345;524047;205464;503302;
495037;206505;1289781;642043;1347068;
930424;712164;1936418;913377;1987804;
680039;793049;21031;16117;27753;
896120;851589;2037340;1015495;1914332;
597325;537799;36742;18677;43941;
937899;60176;763425;595118;1173012;
183511;340219;3114955;1093126;3137673;
511673;589424;297157;139770;335553;
200797;28696;450260;187703;409320;
858871;668729;1012373;402210;1047993;
254124;533415;1269204;612395;1324372;
900971;180877;1760877;877426;2041484;
338094;92363;1623469;732875;1735274;
109219;720798;1617249;795730;1420024;
339612;184540;1063814;537170;1339155;
802823;785443;1146864;533249;1338712;
893771;493069;1845943;912706;1869351;
932409;91474;2180884;1023627;2376405;
304311;318519;1494453;763741;1545660;
541503;485130;1749281;864471;2047142;
1034930;925337;812318;393695;960306;
168099;786102;1131443;551406;1091368;
161437;1015509;759568;376010;1041049;
191792;871418;2361832;999911;2432140;
875865;468116;269292;132291;302495;
216081;328332;412649;187538;437384;
598302;242515;1884783;954492;2114698;
158973;164808;1959474;964017;2433228;
693171;172376;1746928;851758;2131653;
500673;584507;43346;24678;60895;
451696;140169;674200;315064;789620;
401878;611102;1223323;615787;1579402;
447708;340422;1818671;932214;1977112;
332760;645353;1647411;813894;1730010;
38419;684708;692753;305197;830493;
827811;707165;1927511;934896;1836295;
716034;403410;1190395;610085;1360902;
969568;619790;1536584;729386;1713297;
307078;275004;382911;178216;433677;
187233;338245;2530589;838211;1991376;
580779;125388;3207718;859665;1784921;
366735;667928;2549346;901299;1780221;
66287;722184;869536;805032;718240;
308057;6658;2020070;720437;1437426;
596998;760865;2428292;889346;1988013;
291701;937412;1324097;521624;932261;
361170;599499;1745073;529122;1147084;
596820;158519;2472735;810660;1504938;
356691;136741;2271985;779821;1645563;
895803;994506;1068000;663184;835275;
200188;1031462;1960136;576183;1372480;
380129;410807;2371218;842125;1648410;
671122;1021580;1427422;579738;874164;
859649;656009;2799293;1100582;2348753;
406712;206047;437364;164919;933244;
618460;42623;2043058;622568;1349734;
288402;630829;2664917;965561;2055736;
837516;4408;1829119;674776;1147114;
749693;682822;1827067;554711;1406260;
924486;1004951;2538218;888538;2017338;
248190;973747;840425;765537;620603;
677593;535382;2288139;768428;1754760;
281388;859488;648430;869049;683203;
639647;339571;923371;698255;722281;
25872;249567;478737;320366;874998;
417467;872177;192072;142897;198163;
751351;561762;2264650;786625;1396737;
411088;534655;338188;134280;516127;
732799;830960;2256317;657218;1523557;
530851;180056;2501105;826652;1688208;
580644;436016;1676698;545407;1157826;
1015251;404075;1025604;676125;828291;
182359;688093;234197;143111;228835;
761003;71405;2535451;839017;1799993;
402873;199803;241919;122359;257134;
705588;926433;123508;114878;102405;
529988;279036;2019225;711005;1520443;
244246;614049;1082306;591413;744715;
23101;130584;1091930;666408;766837;
71560;634174;586037;571310;779532;
453902;109491;1791568;555926;1369950;
309066;216273;2445760;896930;2084556;
758183;224819;2527144;779343;1849885;
729858;581098;2049830;641108;1532015;
254409;304855;2640168;1001691;1813568;
89728;155920;1376186;475323;823659;
187811;549636;2407292;960320;1684586;
332605;894465;2159159;831614;1711391;
98159;34139;574751;592535;819089;
55347;173700;1586303;469497;1018002;
1047874;883101;495833;346915;956515;
476765;430552;3203551;1075976;2565648;
323062;684264;387920;141169;787042;
597122;96899;1612513;402502;847027;
293181;865397;3156315;1131893;2001764;
559536;96773;1627468;799024;1464177;
809477;361733;1343106;664529;1576814;
503951;575735;1943616;970058;2174518;
543216;979028;862262;391054;866619;
441059;922266;765980;401942;772868;
536691;948328;1585316;720580;1729661;
575506;246851;2097576;992449;2053308;
601109;790069;1576851;713403;1810547;
739056;923664;1810566;1055818;1723387;
754846;437785;1409993;710078;1543858;
771890;209460;186182;84909;205870;
609671;791759;79198;40686;100291;
664807;863662;1552959;779397;1785387;
1031366;326401;2058808;993764;2350050;
754880;326575;417540;194969;450740;
786176;147535;1860410;983003;2183231;
233133;873694;723486;341431;861323;
