VERTEXES;EDGES;MAX_WEIGHT;;
1048576;4063200;65536;;
;;;;
SOURCE;DIJKSTRA;DIALS;RADIX;RADIX_2
951313;2092958;20876034;6476240;2360875
133183;1946830;20444739;6199564;2384785
934455;2036867;16768417;6411291;2441967
110950;2117476;16781302;6211316;2358447
514213;2100991;14566211;6284389;2404829
756120;2045510;16000806;7955376;3223577
8609;2159199;20693822;6298302;2447139
47985;1950575;21060816;6220021;2444575
953635;1916467;23155118;6238205;2368177
376966;2023961;20274267;6189070;2436133
