VERTEXES;EDGES;MAX_WEIGHT;
1048576;4063200;256;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;
951313;133183;2726647;723969;2565653;
934455;110950;103406;54328;200710;
514213;756120;482092;236345;1055466;
8609;47985;1034193;525100;1941494;
953635;376966;327207;175389;672444;
630970;174184;372593;184258;677441;
933555;853556;1418243;633355;2447181;
650757;10960;1161592;667241;2342193;
831007;42710;1388142;596452;2222326;
928139;910876;998966;591835;1884848;
134718;541006;1375731;675466;2659469;
741304;93407;413401;240111;860812;
170508;578577;100878;53916;189105;
373739;271383;1362150;734176;2460699;
726274;490127;456909;236224;863910;
134487;808440;1251903;617142;2238990;
960214;1048550;366724;203107;827921;
36638;589606;24054;16220;58992;
588500;634958;860027;428530;1577382;
884014;792346;721278;396725;1639806;
912982;798370;874886;492151;1769362;
134753;742302;1059705;572476;1960968;
191838;178856;260366;145886;489808;
808316;525179;785834;435721;1678384;
795658;1030951;667038;368356;1360627;
246267;272932;746099;406822;1702569;
519090;80008;990096;525902;1919520;
668519;219375;1335115;640040;2392990;
562878;865723;1286474;672161;2431165;
948636;1044106;367711;190058;701030;
752322;110933;78704;40830;178874;
890572;376485;66400;42253;111931;
760109;918584;197377;89478;315697;
233514;474721;1152288;601894;2227067;
954357;262621;880068;419143;1510044;
308492;328179;1116435;599986;2293915;
512197;500817;593099;295859;1098730;
320781;831713;576827;314001;1320776;
328420;548627;1044548;580859;2119063;
895207;388288;126996;67224;247360;
503211;713860;89811;49876;192508;
412461;232896;620450;301921;1112579;
318321;781656;1040943;566320;2144085;
338333;910653;912383;456587;1717395;
37670;154705;613368;322190;1380863;
530871;31916;380006;194662;719926;
415043;138966;261454;135107;509526;
399201;612981;134267;67782;240799;
195457;647273;1207623;775636;2407377;
519877;51945;1400506;833468;2763439;
95709;1032096;604329;309258;1213524;
249666;775531;1317179;665066;2509998;
75413;500578;175518;105168;399184;
694295;981198;1325976;562699;2070216;
562791;444967;1052078;563584;1897060;
613559;383585;104718;54292;192848;
828949;599964;901337;484112;2334691;
31216;251061;935956;507838;1886330;
935482;971440;723264;324051;1222757;
541401;694744;749395;412350;1496802;
417459;662256;1464641;700634;2626493;
831550;687364;112819;59500;223430;
28530;330862;7000;6792;13771;
179070;247036;994913;450591;1648875;
809297;633038;1382589;747770;2762347;
428586;210655;1069948;534408;2147716;
699004;40649;937667;542580;2309242;
978506;830746;792265;376521;1389124;
328521;770922;1060576;561155;2184450;
320564;334653;1216047;634801;2506521;
405990;800145;271688;152938;605189;
181719;993710;209269;115997;426698;
16636;481425;188668;103540;377609;
215280;77802;1297296;837949;2736141;
977779;813735;101907;52692;188015;
699672;300226;1269622;714907;2601743;
260544;23245;666462;328688;1452591;
631961;693792;1001042;488622;2088454;
163757;252867;1168264;609936;2085511;
41753;753966;503953;244165;994316;
755793;326523;1533056;715299;2776540;
48000;461910;315713;154370;745912;
556279;94969;97239;51929;190853;
833328;500313;148572;74026;275872;
507613;550502;1265858;616089;2683995;
489354;595167;1076411;490789;2001880;
591715;236698;59381;33958;116009;
795596;831779;308807;179075;667837;
520666;181137;331772;157815;617293;
1017049;108294;360004;176310;704747;
694859;776467;1183691;584026;2507303;
57852;454039;1466705;1469307;3954335;
245941;407509;1754447;789813;4271414;
170426;156732;1909797;819903;3114056;
976096;85351;1392779;757089;2684238;
46032;798971;1466311;626427;2209904;
71560;725219;1593462;786265;3063770;
338429;188147;695644;314764;1520138;
184012;436454;586720;265204;1102289;
18354;1005544;1083599;531847;2276552;
665835;146776;1232846;583081;2391192;
469465;234717;83116;57723;175592;
