insertion cmp;insertion swp;merge cmp;merge swp;quick cmp;quick swp;dual pivot cmp;dual pivot swp;hybrid cmp;hybrid swp;
0;0;0;0;0;0;0;0;0;0;
1;1;7;4;3;2;1;4;2;1;
4;3;17;10;8;3;2;5;5;3;
8;5;28;16;14;5;4;8;7;4;
12;8;42;24;22;7;5;11;10;6;
19;12;56;32;30;10;8;15;12;8;
25;15;70;40;38;12;10;18;14;9;
32;19;86;48;47;16;12;21;18;12;
41;24;104;58;59;20;15;25;37;16;
50;29;122;68;67;23;18;28;44;20;
60;35;140;78;79;26;20;31;52;23;
73;42;158;88;91;29;24;36;61;26;
88;50;177;98;101;34;26;39;74;28;
101;57;196;108;114;38;30;44;86;33;
112;63;215;118;126;41;33;48;95;37;
128;71;234;128;137;45;37;51;111;42;
144;80;256;140;152;49;39;54;118;46;
162;89;278;152;165;55;42;60;126;49;
184;101;301;164;178;60;46;64;134;53;
203;111;321;176;192;63;49;68;149;57;
224;122;344;188;208;68;54;74;162;63;
241;131;366;200;221;74;57;79;175;68;
272;147;388;212;238;79;58;81;187;72;
290;156;411;224;249;84;63;86;198;73;
318;171;433;236;264;91;67;91;219;81;
344;184;457;248;279;94;69;95;219;86;
372;199;478;260;288;95;77;101;234;88;
385;206;502;272;313;103;80;106;258;95;
422;225;524;284;326;110;86;111;274;102;
457;243;547;296;335;114;89;114;278;107;
485;257;570;308;355;120;89;119;291;110;
531;281;594;320;378;124;99;127;310;117;
546;289;619;334;383;129;101;131;313;119;
573;303;645;348;406;138;106;135;328;122;
626;330;671;362;430;142;107;138;354;133;
639;337;698;376;441;147;113;145;364;134;
700;368;722;390;464;154;119;151;386;144;
730;383;749;404;464;160;121;152;394;147;
747;392;775;418;478;161;126;161;427;159;
804;421;800;432;501;170;131;166;431;165;
851;445;826;446;515;172;131;166;432;162;
897;469;853;460;546;184;139;176;449;168;
915;478;879;474;560;186;145;183;476;176;
986;514;906;488;576;197;149;186;495;190;
1014;529;933;502;596;202;158;193;497;185;
1053;549;959;516;611;205;156;195;520;194;
1103;574;985;530;628;220;161;202;532;199;
1155;601;1012;544;642;216;167;208;555;203;
1190;619;1039;558;672;229;171;213;561;214;
1259;654;1064;572;691;236;180;219;585;215;
1307;678;1092;586;704;242;179;223;608;227;
1378;714;1119;600;715;244;189;227;604;232;
1411;731;1145;614;745;254;187;234;640;238;
1459;756;1171;628;774;261;202;245;657;243;
1512;783;1199;642;790;265;199;246;652;251;
1589;822;1225;656;803;272;204;250;676;259;
1632;844;1254;670;812;282;212;259;689;263;
1671;864;1280;684;844;285;214;265;702;263;
1747;902;1308;698;851;292;223;269;729;277;
1807;933;1332;712;881;300;223;272;747;278;
1882;971;1359;726;901;304;230;279;764;281;
1940;1000;1386;740;897;306;241;286;792;299;
1996;1029;1413;754;934;326;234;291;810;301;
2060;1061;1440;768;955;324;245;295;841;315;
2122;1093;1471;784;971;338;256;309;819;312;
2201;1133;1501;800;976;337;254;305;851;324;
2281;1173;1530;816;1006;348;264;316;877;327;
2327;1197;1560;832;1016;352;264;317;900;334;
2406;1237;1591;848;1061;365;277;331;925;338;
2497;1283;1621;864;1066;368;282;331;902;341;
2512;1291;1652;880;1094;377;278;339;963;353;
2608;1339;1679;896;1125;394;293;342;958;364;
2698;1385;1708;912;1131;381;291;354;1001;369;
2736;1404;1739;928;1139;397;310;356;1000;368;
2839;1456;1770;944;1194;407;298;359;1038;389;
2895;1485;1800;960;1198;406;306;368;1033;387;
3007;1541;1829;976;1216;410;319;373;1063;401;
3078;1577;1858;992;1233;430;319;379;1074;400;
3157;1617;1889;1008;1262;435;320;383;1093;418;
3172;1625;1918;1024;1261;435;332;388;1092;408;
3303;1691;1948;1040;1301;453;336;395;1136;418;
3369;1725;1980;1056;1291;447;330;395;1143;432;
3423;1752;2010;1072;1340;477;352;412;1170;430;
3545;1814;2040;1088;1353;472;361;418;1179;444;
3627;1855;2071;1104;1371;479;354;420;1237;466;
3709;1897;2100;1120;1412;475;355;427;1218;454;
3802;1944;2131;1136;1433;487;364;436;1233;469;
3865;1976;2161;1152;1431;497;378;444;1284;483;
3973;2030;2193;1168;1468;503;374;443;1278;473;
4048;2068;2221;1184;1496;512;388;458;1291;486;
4161;2125;2253;1200;1491;521;378;454;1334;501;
4231;2161;2280;1216;1533;527;400;460;1308;501;
4382;2237;2312;1232;1542;538;396;466;1370;507;
4455;2274;2343;1248;1575;555;411;483;1346;513;
4560;2327;2374;1264;1604;552;412;477;1371;512;
4615;2355;2405;1280;1620;548;419;490;1396;522;
4730;2413;2434;1296;1637;573;433;495;1439;547;
4744;2420;2464;1312;1646;580;426;501;1447;540;
4975;2536;2494;1328;1693;588;435;510;1453;551;
