insertion cmp;insertion swp;merge cmp;merge swp;quick cmp;quick swp;dual pivot cmp;dual pivot swp;hybrid cmp;hybrid swp;
12103;6128;4299;2278;3033;1099;762;869;2678;1011;
12389;6272;4342;2296;2942;1026;701;852;2707;1000;
12254;6205;4376;2314;2962;1060;797;876;2585;947;
12560;6358;4406;2332;3182;1094;839;879;2751;1071;
13025;6591;4442;2350;3111;1189;814;919;2684;966;
12741;6450;4481;2368;2951;966;837;949;2716;1053;
12965;6562;4518;2386;3174;1140;758;908;2871;1079;
13084;6622;4551;2404;3060;1086;868;973;2808;1011;
13283;6722;4586;2422;3281;1173;804;930;2874;1037;
13256;6709;4608;2440;3297;1188;845;943;2967;1204;
13855;7009;4645;2458;3193;1099;782;914;2795;1061;
13751;6958;4688;2476;3254;1221;804;929;2947;1073;
13941;7053;4717;2494;3305;1203;936;1020;2921;1172;
14169;7168;4755;2512;3250;1241;876;993;2794;1087;
14834;7501;4783;2530;3274;1216;818;940;2865;1067;
14442;7305;4825;2548;3406;1204;918;1056;2930;1081;
14585;7377;4849;2566;3296;1155;912;977;3111;1159;
14980;7575;4883;2584;3335;1199;939;1035;3098;1155;
14974;7573;4930;2602;3516;1268;911;1027;3039;1164;
15435;7804;4963;2620;3470;1227;866;962;3153;1138;
15393;7783;4986;2638;3412;1229;892;1004;2948;1089;
15312;7743;5024;2656;3422;1248;959;1009;3091;1147;
16070;8123;5051;2674;3509;1177;891;1055;3099;1212;
16203;8190;5098;2692;3404;1197;901;985;2973;1151;
15997;8087;5129;2710;3476;1202;887;996;3075;1166;
16489;8334;5167;2728;3746;1343;939;1103;3252;1301;
16519;8349;5186;2746;3660;1227;919;1058;3358;1282;
16248;8214;5232;2764;3610;1264;915;1037;3187;1228;
17183;8682;5274;2782;3590;1264;942;1037;3295;1271;
16997;8590;5300;2800;3694;1318;1009;1135;3311;1244;
17275;8729;5324;2818;3713;1290;997;1122;3281;1270;
17620;8902;5364;2836;3696;1213;982;1117;3196;1244;
17250;8718;5406;2854;3832;1383;965;1083;3385;1255;
17445;8816;5430;2872;3768;1303;973;1076;3370;1275;
18048;9118;5470;2890;3913;1409;1018;1090;3343;1271;
17953;9071;5505;2908;3821;1365;969;1110;3404;1260;
18639;9414;5540;2926;3873;1368;1041;1144;3425;1261;
18327;9259;5567;2944;3982;1448;1020;1138;3614;1313;
18687;9439;5606;2962;4074;1405;974;1143;3556;1233;
19228;9710;5646;2980;3887;1345;1050;1120;3710;1425;
18859;9526;5679;2998;3872;1332;1013;1154;3559;1333;
19601;9898;5706;3016;3960;1376;1034;1141;3566;1388;
19379;9787;5750;3034;3898;1357;1017;1153;3593;1403;
19280;9738;5783;3052;4230;1511;977;1141;3639;1386;
19716;9957;5813;3070;4254;1475;1075;1240;3613;1380;
20204;10201;5850;3088;4356;1555;1095;1193;3728;1372;
20317;10258;5893;3106;4061;1382;1098;1225;3607;1383;
20064;10132;5918;3124;4066;1418;1066;1171;3699;1420;
20831;10516;5965;3142;4089;1439;1089;1252;3635;1340;
20585;10394;5986;3160;4203;1567;1154;1264;3891;1398;
21341;10772;6017;3178;4154;1441;1038;1177;3749;1447;
21449;10827;6057;3196;4259;1407;1107;1236;3706;1456;
21739;10972;6103;3214;4451;1688;1062;1184;3886;1496;
21769;10988;6131;3232;4301;1608;1177;1247;3797;1445;
21949;11078;6162;3250;4339;1482;1089;1241;3860;1536;
21787;10998;6195;3268;4291;1546;1080;1240;3934;1385;
22010;11110;6234;3286;4371;1497;1209;1268;3840;1487;
23011;11611;6270;3304;4585;1756;1074;1193;3740;1397;
23085;11648;6318;3322;4391;1546;1108;1269;3926;1411;
22724;11468;6338;3340;4461;1695;1156;1307;3893;1461;
22618;11416;6360;3358;4534;1667;1172;1317;4068;1546;
23322;11768;6405;3376;4585;1586;1057;1236;4056;1627;
23283;11749;6442;3394;4596;1674;1191;1331;4211;1462;
23190;11703;6470;3412;4699;1704;1184;1290;4109;1594;
23816;12017;6513;3430;4570;1541;1209;1303;4101;1492;
24276;12247;6536;3448;4751;1735;1156;1271;3920;1552;
24170;12195;6584;3466;4626;1621;1217;1308;4067;1604;
24564;12392;6616;3484;4811;1687;1174;1321;4232;1625;
24717;12469;6657;3502;4576;1557;1199;1340;4146;1515;
25251;12737;6672;3520;4573;1658;1211;1413;4406;1625;
25485;12854;6728;3538;4827;1674;1266;1372;4318;1685;
25832;13028;6751;3556;4681;1616;1255;1332;4342;1627;
25877;13051;6782;3574;4527;1681;1250;1318;4141;1538;
26627;13427;6826;3592;4712;1728;1272;1305;4363;1610;
26607;13417;6864;3610;4670;1630;1263;1397;4407;1570;
26255;13242;6878;3628;4772;1703;1182;1343;4385;1710;
26974;13602;6933;3646;4835;1672;1174;1320;4442;1732;
26649;13440;6973;3664;4878;1717;1358;1479;4371;1581;
27196;13714;6998;3682;5046;1739;1236;1472;4470;1720;
27583;13908;7038;3700;4960;1787;1266;1436;4349;1656;
26723;13478;7070;3718;4950;1748;1216;1402;4717;1703;
27724;13979;7105;3736;5121;1892;1294;1432;4854;1834;
28510;14373;7134;3754;5143;1904;1459;1446;4828;1786;
28053;14145;7169;3772;5323;1877;1202;1405;4557;1685;
27859;14048;7206;3790;4866;1668;1248;1466;4567;1658;
29139;14689;7244;3808;4948;1710;1317;1447;4489;1655;
29014;14627;7278;3826;5185;1878;1353;1532;4478;1600;
29897;15069;7309;3844;5208;1939;1320;1515;4587;1760;
29351;14796;7358;3862;5264;1924;1354;1515;4616;1691;
29551;14897;7380;3880;5071;1805;1393;1505;4807;1814;
30105;15174;7410;3898;5130;1917;1454;1529;4854;1802;
30087;15166;7455;3916;5353;2013;1407;1603;4969;2021;
30574;15410;7495;3934;5262;1890;1394;1555;4635;1801;
31147;15697;7528;3952;5334;1914;1320;1488;4780;1772;
30944;15596;7562;3970;5446;1807;1430;1525;4946;1904;
31097;15673;7596;3988;5537;2048;1387;1580;4632;1760;
31429;15839;7632;4006;5334;1906;1454;1608;4838;1751;
31764;16007;7658;4024;5353;1903;1386;1541;5052;1975;
32095;16173;7700;4042;5411;1865;1394;1548;4832;1821;
32593;16423;7730;4060;5636;1993;1490;1684;4847;1882;
32725;16489;7771;4078;5388;1892;1363;1547;4901;1809;
32381;16318;7790;4096;5375;1904;1387;1632;4880;1870;
32639;16447;7832;4116;5496;1985;1487;1672;4971;1930;
33270;16763;7877;4136;5745;1941;1378;1607;5055;1993;
33737;16997;7919;4156;5589;1933;1487;1624;4898;1895;
33887;17073;7960;4176;5524;1944;1505;1676;5103;1880;
33774;17017;7991;4196;5700;1978;1548;1652;5118;1924;
33826;17043;8030;4216;5566;2102;1530;1680;5048;1954;
34587;17424;8073;4236;5725;2007;1523;1650;5344;2092;
34986;17624;8111;4256;5665;2101;1484;1615;5040;1869;
35383;17823;8131;4276;5626;2011;1520;1632;5460;2145;
34917;17591;8189;4296;5728;2034;1606;1655;5033;1955;
35217;17741;8219;4316;5867;2117;1427;1625;5393;1934;
36224;18245;8266;4336;5828;2071;1426;1618;5166;1884;
35853;18060;8299;4356;6121;2124;1550;1736;5512;2019;
37687;18978;8327;4376;5729;2024;1514;1684;5092;1934;
37547;18908;8376;4396;5908;2106;1503;1704;5544;2105;
37479;18875;8411;4416;5937;2154;1597;1791;5148;1998;
37515;18893;8444;4436;6180;2170;1488;1699;5569;2169;
37354;18813;8495;4456;5997;2243;1574;1680;5222;1922;
37385;18829;8517;4476;6188;2242;1575;1737;5576;2116;
38002;19138;8564;4496;5780;2025;1619;1718;5376;2079;
38170;19223;8596;4516;6007;2125;1533;1741;5357;1874;
38835;19556;8626;4536;6211;2234;1607;1727;5235;2020;
38506;19392;8666;4556;5923;2086;1531;1757;5508;2047;
39967;20123;8712;4576;6125;2193;1557;1700;5311;2020;
38808;19544;8744;4596;6212;2240;1622;1761;5683;2047;
39740;20010;8775;4616;6016;2175;1612;1816;5476;2082;
39698;19990;8828;4636;6113;2119;1647;1740;5639;2241;
39846;20064;8858;4656;6493;2363;1560;1808;5798;2003;
40304;20294;8909;4676;6240;2171;1776;1884;5704;2294;
40757;20521;8933;4696;6359;2271;1596;1812;5649;2222;
41434;20860;8974;4716;6417;2308;1741;1882;5933;2305;
41945;21116;9013;4736;6384;2293;1734;1914;5815;2040;
42050;21169;9040;4756;6383;2211;1640;1800;5746;2261;
43276;21782;9085;4776;6471;2318;1757;1873;5705;2128;
41923;21106;9132;4796;6466;2278;1834;1951;6022;2143;
42648;21469;9155;4816;6549;2405;1814;1896;5797;2224;
43204;21748;9195;4836;6539;2248;1703;1874;6001;2252;
44320;22306;9242;4856;6641;2528;1828;1891;5943;2215;
42774;21534;9275;4876;6368;2228;1729;1857;6388;2428;
44107;22201;9321;4896;6646;2348;1652;1869;6096;2349;
44293;22294;9363;4916;6830;2462;1853;2012;6150;2392;
44555;22426;9408;4936;6477;2340;1663;1900;6180;2418;
45609;22953;9421;4956;6696;2358;1702;1909;6143;2495;
43592;21945;9476;4976;6658;2315;1676;1838;6063;2342;
44982;22641;9514;4996;6814;2381;1767;1837;5982;2222;
45631;22966;9546;5016;6739;2376;1772;1967;5970;2217;
45908;23105;9584;5036;6876;2515;1845;1979;6176;2401;
45847;23075;9624;5056;6584;2344;1770;1951;6066;2377;
47183;23743;9650;5076;6519;2365;1839;2110;6193;2284;
47407;23856;9700;5096;6924;2421;1796;2036;6026;2255;
46654;23480;9739;5116;7002;2612;1851;2006;6381;2421;
47638;23972;9773;5136;7051;2517;1896;1992;6421;2528;
48362;24335;9815;5156;6885;2399;1739;1943;6905;2617;
48202;24255;9847;5176;6721;2304;1734;2005;6006;2333;
48124;24217;9879;5196;6894;2412;1843;1991;6415;2441;
48508;24409;9929;5216;6987;2475;1740;1934;6469;2433;
48221;24266;9953;5236;7147;2605;1896;2032;6550;2606;
50039;25176;10011;5256;7115;2556;1967;2169;6261;2317;
49085;24699;10049;5276;7216;2676;1924;2093;6458;2479;
50225;25270;10081;5296;7061;2502;1910;2063;6550;2426;
50370;25343;10102;5316;7119;2536;2051;2092;6597;2556;
50925;25621;10154;5336;7184;2580;1713;1990;6416;2327;
50383;25350;10198;5356;7037;2424;1729;1988;6661;2479;
50324;25321;10233;5376;7413;2603;1849;2045;6807;2518;
52836;26578;10263;5396;7248;2599;1885;2080;6618;2457;
52471;26396;10303;5416;7427;2733;1986;2080;6906;2706;
52871;26596;10347;5436;7522;2607;1847;2067;6980;2635;
52488;26405;10395;5456;7344;2480;2021;2201;7179;2642;
53348;26836;10417;5476;7561;2731;1954;2109;6703;2570;
51888;26106;10456;5496;7200;2592;1901;2117;6859;2552;
52323;26324;10516;5516;7552;2746;1969;2188;6596;2482;
54699;27513;10524;5536;7584;2673;1994;2193;7177;2804;
54980;27654;10582;5556;7678;2700;1916;2099;6858;2530;
54105;27217;10608;5576;7224;2511;1904;2175;7006;2678;
53891;27110;10651;5596;7699;2771;1950;2143;7194;2624;
55997;28164;10693;5616;7459;2664;1967;2207;6774;2501;
54420;27376;10735;5636;7733;2815;1905;2132;6737;2587;
56439;28386;10759;5656;7441;2762;1912;2121;6844;2575;
55684;28009;10804;5676;7506;2694;2026;2227;6919;2553;
56525;28430;10854;5696;7353;2577;1886;2171;7282;2740;
57213;28774;10862;5716;7690;2632;1918;2200;7042;2634;
57409;28873;10917;5736;7900;2840;1927;2160;7200;2792;
57050;28694;10947;5756;7558;2780;2099;2305;7192;2741;
58425;29382;11006;5776;7639;2673;1947;2263;6887;2526;
59579;29959;11029;5796;7732;2760;1988;2115;7227;2657;
58007;29174;11065;5816;7904;2958;2056;2289;7278;2818;
58277;29309;11102;5836;7485;2709;2065;2306;7129;2669;
58768;29555;11154;5856;8031;2844;1953;2269;6927;2569;
59948;30146;11190;5876;8053;2930;1959;2240;7063;2679;
60671;30508;11228;5896;8025;2710;2050;2265;7217;2714;
60195;30270;11255;5916;8020;2881;2134;2205;7198;2691;
60685;30516;11295;5936;8020;2885;2063;2313;7355;2845;
60055;30201;11338;5956;8100;2923;2200;2359;6931;2674;
60876;30612;11381;5976;8043;3013;2118;2337;7219;2721;
61272;30811;11424;5996;8252;3016;2138;2349;7384;2637;
61448;30899;11460;6016;8297;2905;2062;2339;7301;2782;
63336;31844;11488;6036;8067;2874;2234;2419;7359;2810;
62227;31290;11521;6056;8258;3119;2136;2321;7215;2701;
62214;31284;11578;6076;8432;2976;2359;2451;7367;2841;
63397;31876;11598;6096;8273;2851;2056;2248;7512;2768;
62995;31675;11645;6116;8052;2792;2084;2288;7491;2723;
63749;32053;11691;6136;8294;3042;2195;2408;7702;2993;
64907;32632;11718;6156;8283;2986;2211;2475;7638;2983;
65518;32938;11769;6176;8357;3043;2135;2350;7912;2893;
64840;32600;11800;6196;8464;3048;2214;2424;8128;3161;
65950;33155;11829;6216;8350;3025;2193;2392;7641;2897;
65855;33108;11867;6236;8527;2988;2131;2395;7837;2838;
67318;33840;11912;6256;8385;3098;2204;2423;7912;3032;
66958;33661;11950;6276;8164;2885;2276;2447;7758;2886;
65857;33111;11975;6296;8457;2932;2296;2528;7928;3013;
67570;33968;12039;6316;8475;2922;2298;2460;7768;2953;
68346;34356;12061;6336;8514;3022;2191;2345;7450;2870;
67807;34087;12106;6356;8444;3120;2167;2463;7624;2845;
69408;34888;12146;6376;8772;3176;2072;2344;7893;2944;
68643;34506;12182;6396;8397;2946;2460;2499;7967;2938;
69648;35009;12222;6416;8655;3115;2228;2538;7852;2863;
69589;34980;12257;6436;8661;3148;2230;2436;7920;3074;
69974;35173;12293;6456;8903;3177;2273;2500;7900;2995;
70677;35525;12330;6476;8910;3186;2167;2398;8138;3187;
70770;35572;12379;6496;8894;3250;2297;2541;8230;3007;
69941;35158;12417;6516;8965;3238;2283;2437;8064;3073;
72066;36221;12447;6536;9184;3154;2224;2415;7746;2996;
70962;35670;12486;6556;8728;3027;2309;2532;8346;3294;
72185;36282;12528;6576;8969;3210;2145;2507;8239;3081;
73558;36969;12564;6596;8831;3243;2282;2590;8472;3082;
72308;36344;12599;6616;9121;3189;2562;2690;8126;3113;
72969;36675;12632;6636;8897;3163;2261;2486;8489;3308;
73677;37030;12685;6656;9065;3263;2356;2614;8492;3355;
74521;37452;12720;6676;8797;3318;2365;2630;8322;3077;
74446;37415;12746;6696;9030;3250;2475;2739;8149;3068;
74826;37606;12809;6716;9191;3270;2263;2505;7973;3034;
74115;37251;12843;6736;8999;3109;2462;2641;8281;3125;
74865;37626;12891;6756;9803;3480;2430;2656;8488;3223;
75890;38139;12912;6776;9556;3471;2533;2574;8302;3121;
76916;38653;12953;6796;9111;3220;2438;2641;8532;3171;
77070;38730;12987;6816;9172;3390;2435;2609;8419;3237;
76668;38530;13024;6836;9383;3399;2411;2681;8277;3261;
78165;39279;13075;6856;9261;3375;2417;2682;8227;3034;
78232;39313;13107;6876;9455;3329;2282;2651;8438;3068;
78712;39553;13151;6896;9351;3416;2465;2646;8448;3151;
79822;40109;13171;6916;9435;3537;2547;2755;8380;3300;
79846;40121;13222;6936;9023;3228;2251;2536;8208;3232;
81295;40846;13255;6956;9650;3440;2365;2565;8412;3127;
79574;39986;13304;6976;9417;3306;2412;2676;8641;3025;
80148;40274;13346;6996;9883;3357;2510;2725;8253;3271;
81021;40711;13369;7016;9660;3467;2359;2670;9006;3379;
81546;40974;13418;7036;9585;3356;2570;2755;8580;3264;
81821;41112;13451;7056;9840;3535;2367;2666;8692;3241;
82608;41506;13482;7076;9819;3341;2562;2787;8732;3332;
82216;41310;13536;7096;9412;3479;2578;2837;8832;3444;
82614;41510;13568;7116;9678;3563;2506;2712;8504;3049;
84108;42257;13609;7136;9219;3257;2675;2789;8517;3309;
84550;42479;13650;7156;9638;3375;2468;2671;9014;3242;
84950;42679;13690;7176;9597;3300;2387;2688;8715;3363;
84009;42209;13719;7196;10014;3549;2609;2736;9208;3692;
84073;42242;13762;7216;9850;3631;2679;2860;9006;3412;
85736;43074;13803;7236;9943;3579;2394;2723;8811;3281;
84976;42694;13837;7256;9778;3714;2538;2779;8820;3371;
87226;43820;13875;7276;9668;3530;2524;2729;9121;3512;
86964;43689;13922;7296;9765;3465;2455;2716;9152;3508;
86713;43564;13960;7316;10520;3876;2579;2751;9247;3524;
86754;43585;13989;7336;9887;3523;2541;2841;9575;3620;
89527;44972;14037;7356;9927;3377;2510;2814;9273;3619;
88139;44279;14084;7376;10019;3530;2590;2873;9588;3781;
89301;44860;14113;7396;10367;3610;2466;2741;8991;3443;
88714;44567;14154;7416;9979;3671;2763;2940;9144;3322;
89404;44913;14185;7436;10193;3736;2749;2828;9308;3512;
89325;44874;14227;7456;9712;3526;2584;2891;9479;3642;
91985;46204;14261;7476;10129;3512;2715;2881;9544;3716;
91982;46203;14311;7496;10297;3705;2558;2914;9212;3496;
89231;44828;14340;7516;10199;3387;2635;2888;9373;3473;
92261;46344;14387;7536;10200;3746;2708;2910;9473;3633;
91919;46173;14419;7556;10372;3806;2565;2826;9515;3630;
93797;47113;14461;7576;10374;3948;2758;2958;9814;3707;
90520;45475;14499;7596;10676;3768;2679;3002;9444;3574;
94781;47606;14551;7616;10174;3388;2653;2913;9034;3467;
93058;46745;14578;7636;10225;3681;2787;2964;9259;3400;
91690;46061;14614;7656;10560;4006;2690;3049;9211;3505;
94474;47454;14647;7676;10822;3929;2671;2933;9623;3637;
94074;47254;14683;7696;10882;3916;3009;3021;9760;3650;
95377;47906;14733;7716;10618;3715;2804;3058;9530;3718;
96332;48384;14780;7736;10604;3692;2834;2985;9580;3586;
95917;48177;14802;7756;10593;3838;2695;3095;10481;3954;
95592;48015;14857;7776;10548;3823;2704;2893;9331;3492;
98564;49502;14883;7796;11083;4187;2940;3150;9823;3840;
99697;50069;14916;7816;10702;3790;2779;3008;9758;3737;
97388;48915;14975;7836;10342;3508;2783;3066;9961;3749;
99755;50099;14999;7856;10762;3912;2793;2965;10118;3686;
99998;50221;15026;7876;10738;3962;2710;2996;10436;3724;
100601;50523;15080;7896;10951;3955;2965;3178;9860;3881;
98824;49635;15122;7916;10747;3972;2897;3049;10239;3761;
99775;50111;15154;7936;10907;3879;3179;3253;9920;4043;
100803;50625;15192;7956;10980;3947;2765;3071;10237;3772;
100086;50267;15244;7976;11535;4228;2861;3086;10175;3828;
101838;51144;15274;7996;10674;3793;2899;3099;9892;3720;
101098;50774;15320;8016;11022;3841;2843;3157;10173;3793;
101692;51072;15342;8036;10862;3958;2873;3112;10558;4021;
102859;51656;15402;8056;11194;4019;2907;3114;9909;3763;
102534;51494;15439;8076;10759;3937;3031;3094;10224;3666;
104434;52444;15483;8096;11329;4275;2939;3153;10271;3889;
104540;52498;15520;8116;10829;3814;2975;3231;10467;3932;
106343;53400;15536;8136;11138;4049;3042;3344;10048;3710;
106249;53353;15588;8156;11262;4213;2960;3290;10295;3963;
107330;53894;15620;8176;11256;4062;2985;3193;10254;4107;
107988;54224;15670;8196;11511;4441;2934;3160;10640;4060;
107239;53850;15701;8216;11127;3983;2863;3070;10982;4128;
106788;53625;15730;8236;12102;4309;3080;3241;10575;3803;
106677;53570;15767;8256;11470;3955;3013;3271;10219;3932;
107043;53753;15816;8276;11517;4185;2808;3146;10142;3897;
108884;54674;15867;8296;11474;4070;2973;3294;10540;3796;
110439;55452;15901;8316;11908;4420;3067;3382;10746;4326;
108566;54516;15946;8336;11867;4398;2923;3140;10651;3737;
112405;56436;15959;8356;11638;4236;2930;3224;10616;4008;
110137;55303;16030;8376;11592;4192;2889;3269;10139;3947;
109903;55186;16055;8396;11576;4169;3190;3354;10302;4049;
112684;56577;16083;8416;11439;4168;2969;3235;10487;4025;
113439;56955;16123;8436;11278;4082;2982;3236;10495;4158;
112830;56651;16176;8456;11761;4114;2921;3185;10626;3956;
112153;56313;16205;8476;11627;4273;2938;3228;10517;4111;
111732;56103;16264;8496;11747;4328;3188;3301;10572;4066;
114406;57441;16291;8516;11292;3917;3209;3412;10337;3932;
114926;57701;16350;8536;11921;4517;3074;3459;10853;4218;
115776;58127;16367;8556;11819;4222;3013;3305;10633;4148;
114588;57533;16408;8576;11846;4338;3078;3293;10765;3924;
