insertion cmp;insertion swp;merge cmp;merge swp;quick cmp;quick swp;dual pivot cmp;dual pivot swp;hybrid cmp;hybrid swp;
0;0;0;0;0;0;0;0;0;0;
2;1;7;4;3;2;1;4;3;1;
4;3;17;10;9;3;2;6;5;3;
9;6;28;16;15;5;4;8;6;4;
13;8;42;24;20;7;7;12;9;6;
16;10;56;32;30;9;6;13;12;8;
25;15;71;40;37;13;8;16;15;10;
35;21;86;48;48;16;11;20;19;12;
38;23;104;58;59;21;15;23;39;16;
52;30;120;68;62;22;17;26;52;18;
59;34;141;78;76;25;19;32;60;22;
83;47;159;88;84;31;26;37;64;25;
87;49;178;98;103;35;24;40;72;32;
95;54;196;108;110;40;33;43;76;31;
121;67;213;118;127;40;34;43;89;40;
133;74;234;128;141;47;34;51;101;41;
145;80;256;140;146;44;40;56;102;45;
175;96;279;152;164;52;35;57;124;49;
174;96;300;164;172;56;48;62;132;51;
206;112;322;176;200;64;46;67;136;58;
224;122;344;188;219;75;52;68;167;67;
247;134;369;200;230;76;59;78;192;61;
263;142;388;212;233;77;60;85;200;76;
304;163;408;224;239;83;69;84;186;78;
331;177;433;236;270;86;73;96;197;81;
367;196;457;248;296;99;77;96;218;91;
370;198;479;260;300;91;85;100;253;87;
406;216;501;272;300;105;93;114;256;95;
427;227;524;284;324;111;80;108;261;109;
471;250;551;296;333;114;93;114;298;122;
492;261;571;308;354;120;87;114;299;107;
513;272;593;320;373;122;94;126;326;124;
591;311;619;334;402;124;102;133;312;111;
561;297;647;348;411;130;120;134;320;117;
635;334;671;362;438;145;104;144;356;129;
683;359;700;376;437;138;122;165;370;138;
683;359;724;390;425;156;129;149;375;138;
763;400;747;404;461;154;120;153;388;141;
768;403;775;418;526;173;128;165;417;146;
818;428;797;432;507;162;137;163;408;158;
837;438;826;446;554;206;150;180;413;139;
917;479;851;460;539;180;147;179;450;170;
949;495;877;474;566;198;138;189;524;164;
995;519;909;488;587;194;140;179;488;194;
1013;528;935;502;604;201;139;185;503;183;
1051;548;959;516;610;216;153;201;514;185;
1080;563;981;530;654;219;150;195;571;209;
1108;577;1010;544;607;207;176;215;486;178;
1201;624;1036;558;690;244;187;220;560;196;
1265;657;1065;572;664;223;184;223;604;200;
1359;704;1091;586;711;267;170;216;626;233;
1398;724;1119;600;689;240;186;233;617;240;
1403;727;1145;614;737;239;189;242;689;245;
1497;775;1169;628;765;252;206;234;681;254;
1626;840;1201;642;834;279;198;250;676;282;
1563;809;1226;656;827;281;205;249;648;247;
1574;815;1250;670;820;277;225;271;672;264;
1712;884;1281;684;879;286;208;251;739;290;
1798;928;1308;698;863;295;214;273;715;254;
1750;904;1333;712;867;285;242;303;757;264;
1870;965;1358;726;891;307;249;290;759;274;
2056;1058;1386;740;926;316;236;287;774;283;
2060;1061;1414;754;971;328;241;284;773;288;
2064;1063;1443;768;938;327;264;298;844;315;
2194;1129;1469;784;968;325;242;305;803;319;
2188;1126;1498;800;992;315;258;308;848;325;
2133;1099;1532;816;1018;343;255;335;841;332;
2215;1141;1561;832;1080;366;267;318;906;343;
2452;1260;1592;848;1105;373;312;340;905;354;
2349;1209;1619;864;1102;364;270;324;926;323;
2578;1324;1651;880;1076;375;299;351;995;383;
2729;1400;1681;896;1095;395;320;356;954;360;
2580;1326;1709;912;1134;412;304;361;988;370;
2841;1457;1743;928;1131;405;282;340;985;361;
2922;1498;1765;944;1174;409;322;388;1002;376;
2883;1479;1796;960;1111;375;332;372;1103;434;
2837;1456;1833;976;1236;454;298;367;1099;363;
3054;1565;1856;992;1167;431;312;365;1054;382;
3285;1681;1893;1008;1255;428;325;396;1079;410;
3241;1660;1921;1024;1420;437;357;398;1058;395;
3177;1628;1948;1040;1233;435;322;390;1172;442;
3391;1736;1979;1056;1307;429;333;403;1079;389;
3416;1749;2012;1072;1321;467;334;411;1176;409;
3662;1872;2037;1088;1337;459;352;424;1212;477;
3598;1841;2076;1104;1436;460;378;431;1158;433;
3482;1783;2106;1120;1377;479;375;429;1185;464;
3958;2022;2127;1136;1416;476;356;417;1189;433;
3935;2011;2167;1152;1421;495;359;445;1219;443;
3978;2033;2190;1168;1369;493;395;446;1262;468;
4098;2093;2216;1184;1443;501;398;457;1297;495;
4260;2175;2254;1200;1520;569;382;427;1281;487;
4171;2131;2278;1216;1543;514;414;478;1334;480;
4263;2177;2307;1232;1589;562;388;471;1324;543;
4458;2275;2347;1248;1582;539;416;483;1384;504;
4651;2372;2368;1264;1565;555;388;457;1440;567;
4683;2389;2401;1280;1683;576;419;505;1392;506;
4683;2389;2427;1296;1638;547;429;482;1505;591;
4873;2485;2466;1312;1720;612;394;474;1423;529;
4989;2543;2498;1328;1673;616;437;508;1463;585;
5292;2695;2523;1344;1670;580;461;520;1549;610;
5091;2595;2559;1360;1737;596;452;532;1455;564;
5056;2578;2584;1376;1733;600;439;525;1433;549;
5337;2719;2619;1392;1803;575;450;527;1591;583;
5529;2816;2653;1408;1774;648;476;524;1542;612;
5585;2844;2679;1424;1820;626;407;529;1569;604;
5645;2875;2711;1440;1819;634;468;568;1621;594;
5742;2924;2743;1456;1881;656;484;542;1736;616;
5787;2947;2775;1472;1895;661;474;556;1553;607;
5893;3000;2806;1488;1825;632;478;570;1597;588;
6119;3114;2829;1504;1916;634;484;586;1677;674;
6154;3132;2859;1520;1963;649;495;576;1733;695;
6631;3371;2892;1536;1975;656;539;623;1659;619;
6435;3273;2929;1552;1956;698;520;618;1725;679;
6368;3240;2962;1568;2038;764;553;628;1898;694;
6794;3454;2986;1584;2059;698;511;626;1868;740;
6838;3476;3023;1600;2073;802;550;624;1868;668;
6824;3470;3048;1616;2099;689;515;599;1863;701;
6842;3479;3085;1632;2099;773;565;633;1816;718;
7255;3686;3116;1648;2097;737;556;612;2008;725;
7371;3745;3143;1664;2151;730;553;647;1929;754;
7368;3744;3173;1680;2221;794;562;672;1863;718;
7305;3713;3203;1696;2147;740;591;670;1881;710;
7619;3870;3236;1712;2134;768;531;655;1999;727;
7627;3875;3266;1728;2256;768;584;662;2005;734;
7948;4036;3298;1744;2245;800;565;662;2004;705;
7890;4007;3327;1760;2242;742;560;673;1969;767;
8260;4193;3354;1776;2338;852;590;709;2084;770;
8417;4272;3389;1792;2300;847;618;669;2130;751;
8195;4161;3427;1810;2270;743;613;709;2141;787;
8355;4242;3460;1828;2347;747;600;714;2141;787;
8680;4405;3487;1846;2461;863;672;772;2211;871;
8523;4327;3520;1864;2340;833;625;713;2140;834;
8878;4505;3564;1882;2479;883;659;699;2133;816;
9030;4581;3604;1900;2463;863;700;740;2172;803;
9204;4669;3622;1918;2521;802;651;739;2157;830;
9206;4670;3663;1936;2545;864;647;757;2301;845;
9769;4952;3699;1954;2466;908;602;725;2148;806;
9804;4970;3737;1972;2517;846;652;758;2167;858;
9798;4968;3764;1990;2522;852;697;794;2260;869;
10064;5101;3792;2008;2566;905;678;790;2387;938;
9923;5031;3826;2026;2612;967;707;757;2342;906;
10167;5154;3860;2044;2607;933;643;739;2361;899;
10332;5237;3896;2062;2736;991;704;795;2403;865;
10533;5338;3935;2080;2802;909;753;800;2442;906;
10779;5461;3973;2098;2772;1015;745;824;2403;857;
10337;5241;3997;2116;2743;984;702;806;2573;912;
11090;5618;4025;2134;2757;962;702;783;2528;943;
10781;5464;4065;2152;2704;957;771;851;2573;960;
11383;5765;4099;2170;2925;949;781;839;2427;932;
11520;5834;4135;2188;2747;948;710;823;2614;943;
11588;5869;4171;2206;2894;1041;847;851;2459;887;
11397;5774;4209;2224;2802;970;761;885;2502;959;
11932;6042;4237;2242;2912;1023;723;849;2548;977;
11972;6062;4264;2260;3012;1066;732;862;2568;937;
