insertion (cmp);insertion (swp);merge (cmp);merge (swp);quick (cmp);quick (swp);dual pivot (cmp);dual pivot (swp);hybrid (cmp);hybrid (swp);n;insertion (cmp/n);merge (cmp/n);quick (cmp/n);dual pivot (cmp/n);hybrid (cmp/n);insertion (swp/n);merge (swp/n);quick (swp/n);dual pivot (swp/n);hybrid (swp/n)
43753;22029;9641;5096;7030;2568;1920;2264;6781;2556;306;142,9836601;31,50653595;22,97385621;6,274509804;8,352941176;71,99019608;16,65359477;8,392156863;7,39869281;8,352941176
49168;24737;9778;5116;6853;2482;1655;1982;6762;2624;307;160,1563518;31,85016287;22,32247557;5,390879479;8,54723127;80,57654723;16,66449511;8,084690554;6,456026059;8,54723127
48131;24219;9791;5136;7912;2818;2218;1782;7648;2487;308;156,2694805;31,78896104;25,68831169;7,201298701;8,074675325;78,63311688;16,67532468;9,149350649;5,785714286;8,074675325
45560;22934;9830;5156;7687;2472;1542;1678;5878;2239;309;147,4433657;31,81229773;24,87702265;4,990291262;7,245954693;74,22006472;16,68608414;8;5,430420712;7,245954693
46321;23315;9833;5176;7365;2662;1565;1898;6110;2126;310;149,4225806;31,71935484;23,75806452;5,048387097;6,858064516;75,20967742;16,69677419;8,587096774;6,122580645;6,858064516
47864;24087;9906;5196;7094;2384;1733;1890;5830;2362;311;153,903537;31,85209003;22,81028939;5,572347267;7,594855305;77,45016077;16,7073955;7,665594855;6,077170418;7,594855305
48415;24363;9963;5216;6350;2076;1871;2220;6598;2340;312;155,1762821;31,93269231;20,3525641;5,996794872;7,5;78,08653846;16,71794872;6,653846154;7,115384615;7,5
50096;25204;9942;5236;8552;2444;2364;2566;6023;2370;313;160,0511182;31,76357827;27,32268371;7,552715655;7,571884984;80,52396166;16,7284345;7,808306709;8,198083067;7,571884984
49721;25017;9993;5256;7809;2802;1581;1856;7198;2581;314;158,3471338;31,82484076;24,86942675;5,035031847;8,219745223;79,67197452;16,7388535;8,923566879;5,910828025;8,219745223
48174;24244;10062;5276;6730;2296;2204;1930;6675;2627;315;152,9333333;31,94285714;21,36507937;6,996825397;8,33968254;76,96507937;16,74920635;7,288888889;6,126984127;8,33968254
49287;24801;10053;5296;6487;2328;1879;2272;6365;2019;316;155,971519;31,81329114;20,52848101;5,946202532;6,389240506;78,48417722;16,75949367;7,367088608;7,189873418;6,389240506
51914;26115;10114;5316;6946;2632;2008;2278;5774;2151;317;163,7665615;31,90536278;21,91167192;6,334384858;6,785488959;82,38170347;16,76971609;8,302839117;7,186119874;6,785488959
49975;25146;10153;5336;6718;2530;1964;2250;6559;2572;318;157,1540881;31,92767296;21,12578616;6,176100629;8,088050314;79,0754717;16,77987421;7,955974843;7,075471698;8,088050314
51606;25962;10176;5356;6554;2568;1601;1882;6635;2664;319;161,7742947;31,89968652;20,54545455;5,018808777;8,351097179;81,38557994;16,78996865;8,05015674;5,89968652;8,351097179
50547;25433;10243;5376;6934;2248;2023;2336;5759;2085;320;157,959375;32,009375;21,66875;6,321875;6,515625;79,478125;16,8;7,025;7,3;6,515625
53892;27106;10298;5396;8592;3572;1883;2150;8072;3384;321;167,8878505;32,08099688;26,76635514;5,866043614;10,54205607;84,4423676;16,80996885;11,12772586;6,697819315;10,54205607
52567;26444;10331;5416;7203;2996;1903;2258;6201;2329;322;163,2515528;32,08385093;22,36956522;5,909937888;7,232919255;82,1242236;16,81987578;9,304347826;7,01242236;7,232919255
55206;27764;10346;5436;7403;2544;1418;1876;6592;2661;323;170,9164087;32,03095975;22,91950464;4,390092879;8,238390093;85,95665635;16,82972136;7,876160991;5,808049536;8,238390093
48563;24443;10379;5456;7177;2742;1751;1948;7098;2193;324;149,8858025;32,03395062;22,15123457;5,404320988;6,768518519;75,44135802;16,83950617;8,462962963;6,012345679;6,768518519
53712;27018;10390;5476;7308;2520;1939;2122;5955;2191;325;165,2676923;31,96923077;22,48615385;5,966153846;6,741538462;83,13230769;16,84923077;7,753846154;6,529230769;6,741538462
50581;25453;10469;5496;6691;2284;1898;1934;7501;3332;326;155,1564417;32,11349693;20,52453988;5,82208589;10,2208589;78,07668712;16,85889571;7,006134969;5,932515337;10,2208589
51564;25945;10526;5516;6866;2200;2028;2246;7629;2620;327;157,6880734;32,18960245;20,9969419;6,201834862;8,012232416;79,34250765;16,86850153;6,727828746;6,868501529;8,012232416
52087;26207;10557;5536;7310;2470;1855;2152;8250;2591;328;158,8018293;32,18597561;22,28658537;5,655487805;7,899390244;79,89939024;16,87804878;7,530487805;6,56097561;7,899390244
51958;26143;10594;5556;6975;2140;1922;1948;7172;2837;329;157,9270517;32,2006079;21,2006079;5,841945289;8,623100304;79,46200608;16,88753799;6,504559271;5,920972644;8,623100304
54441;27385;10627;5576;7875;2656;1648;2002;6676;2637;330;164,9727273;32,2030303;23,86363636;4,993939394;7,990909091;82,98484848;16,8969697;8,048484848;6,066666667;7,990909091
53916;27123;10658;5596;7194;2404;2193;2440;6816;2110;331;162,8882175;32,19939577;21,73413897;6,625377644;6,374622356;81,94259819;16,90634441;7,262839879;7,371601208;6,374622356
55429;27880;10701;5616;7349;2844;2039;2294;6347;2456;332;166,9548193;32,23192771;22,13554217;6,141566265;7,397590361;83,97590361;16,91566265;8,56626506;6,909638554;7,397590361
52686;26509;10720;5636;7215;2750;2072;2422;6930;2986;333;158,2162162;32,19219219;21,66666667;6,222222222;8,966966967;79,60660661;16,92492492;8,258258258;7,273273273;8,966966967
59693;30013;10765;5656;8197;2928;2534;2512;7104;2215;334;178,7215569;32,23053892;24,54191617;7,586826347;6,631736527;89,85928144;16,93413174;8,766467066;7,520958084;6,631736527
56272;28303;10814;5676;7987;2894;1976;2294;6684;2410;335;167,9761194;32,28059701;23,84179104;5,898507463;7,194029851;84,48656716;16,94328358;8,63880597;6,847761194;7,194029851
56153;28244;10817;5696;7163;2688;2496;1952;6980;2095;336;167,1220238;32,19345238;21,31845238;7,428571429;6,235119048;84,05952381;16,95238095;8;5,80952381;6,235119048
57476;28906;10872;5716;7183;2360;1894;1996;7573;2675;337;170,5519288;32,2611276;21,31454006;5,620178042;7,93768546;85,77448071;16,96142433;7,002967359;5,922848665;7,93768546
54751;27544;10961;5736;7612;2640;2057;2228;7756;2971;338;161,9852071;32,42899408;22,52071006;6,085798817;8,789940828;81,49112426;16,9704142;7,810650888;6,591715976;8,789940828
58776;29557;10954;5756;8574;2634;1723;2148;8269;2317;339;173,380531;32,31268437;25,2920354;5,08259587;6,83480826;87,18879056;16,97935103;7,769911504;6,336283186;6,83480826
56887;28613;11027;5776;8314;3196;1874;2014;6925;2872;340;167,3147059;32,43235294;24,45294118;5,511764706;8,447058824;84,15588235;16,98823529;9,4;5,923529412;8,447058824
57992;29166;11032;5796;8002;2852;1697;1982;6600;2613;341;170,0645161;32,35190616;23,46627566;4,976539589;7,662756598;85,53079179;16,99706745;8,363636364;5,812316716;7,662756598
56899;28620;11077;5816;8620;3052;2065;2300;7994;2808;342;166,371345;32,38888889;25,20467836;6,038011696;8,210526316;83,68421053;17,00584795;8,923976608;6,725146199;8,210526316
62224;31283;11128;5836;6885;2284;2317;2174;7318;3300;343;181,4110787;32,44314869;20,0728863;6,755102041;9,620991254;91,20408163;17,01457726;6,658892128;6,33819242;9,620991254
62609;31476;11131;5856;8692;3370;2050;2188;7989;3194;344;182,002907;32,35755814;25,26744186;5,959302326;9,284883721;91,5;17,02325581;9,796511628;6,360465116;9,284883721
57396;28870;11164;5876;7860;2976;1871;2088;7390;2892;345;166,3652174;32,35942029;22,7826087;5,423188406;8,382608696;83,68115942;17,03188406;8,626086957;6,052173913;8,382608696
60759;30552;11245;5896;7338;2464;2368;2482;7118;2828;346;175,6040462;32,5;21,20809249;6,843930636;8,173410405;88,30057803;17,04046243;7,121387283;7,173410405;8,173410405
59970;30158;11282;5916;8675;3218;1962;2188;8074;2337;347;172,8242075;32,5129683;25;5,654178674;6,734870317;86,91066282;17,04899135;9,273775216;6,305475504;6,734870317
61289;30818;11297;5936;8051;2890;1650;2002;7383;2881;348;176,1178161;32,46264368;23,13505747;4,74137931;8,278735632;88,55747126;17,05747126;8,304597701;5,752873563;8,278735632
63940;32144;11334;5956;8345;2646;2171;2192;7672;2765;349;183,2091691;32,4756447;23,91117479;6,220630372;7,922636103;92,10315186;17,06590258;7,581661891;6,280802292;7,922636103
58847;29598;11405;5976;8048;3240;2565;2664;6513;2513;350;168,1342857;32,58571429;22,99428571;7,328571429;7,18;84,56571429;17,07428571;9,257142857;7,611428571;7,18
59746;30048;11408;5996;7571;2506;2523;2628;8483;2754;351;170,2165242;32,5014245;21,56980057;7,188034188;7,846153846;85,60683761;17,08262108;7,13960114;7,487179487;7,846153846
59771;30061;11513;6016;7820;2638;1853;2252;7306;2899;352;169,8039773;32,70738636;22,21590909;5,264204545;8,235795455;85,40056818;17,09090909;7,494318182;6,397727273;8,235795455
58496;29424;11514;6036;8354;3032;1797;2210;7883;3285;353;165,7110482;32,61756374;23,66572238;5,090651558;9,305949008;83,35410765;17,09915014;8,589235127;6,260623229;9,305949008
65621;32987;11525;6056;8278;2772;2007;2172;7862;2409;354;185,3700565;32,55649718;23,38418079;5,669491525;6,805084746;93,18361582;17,10734463;7,830508475;6,13559322;6,805084746
64454;32404;11530;6076;8168;2902;2126;2282;6775;2488;355;181,5605634;32,47887324;23,0084507;5,988732394;7,008450704;91,27887324;17,11549296;8,174647887;6,428169014;7,008450704
64197;32276;11629;6096;7923;2966;2079;2268;7983;2898;356;180,3286517;32,66573034;22,25561798;5,83988764;8,140449438;90,66292135;17,12359551;8,331460674;6,370786517;8,140449438
65546;32951;11616;6116;9623;3624;2644;2884;7272;2949;357;183,6022409;32,53781513;26,95518207;7,406162465;8,260504202;92,29971989;17,13165266;10,1512605;8,078431373;8,260504202
67253;33805;11653;6136;8802;3154;2195;2582;7444;3087;358;187,8575419;32,55027933;24,58659218;6,131284916;8,622905028;94,4273743;17,1396648;8,810055866;7,212290503;8,622905028
64126;32242;11742;6156;7730;2854;2134;2222;7340;2767;359;178,6239554;32,70752089;21,53203343;5,944289694;7,707520891;89,81058496;17,14763231;7,949860724;6,189415042;7,707520891
62923;31641;11757;6176;7827;2644;2092;2122;8584;2939;360;174,7861111;32,65833333;21,74166667;5,811111111;8,163888889;87,89166667;17,15555556;7,344444444;5,894444444;8,163888889
67818;34089;11802;6196;9128;4126;2080;2286;7189;2464;361;187,8614958;32,69252078;25,28531856;5,761772853;6,825484765;94,42936288;17,1634349;11,42936288;6,332409972;6,825484765
68361;34361;11883;6216;8011;2924;2574;2854;8120;2983;362;188,8425414;32,82596685;22,12983425;7,110497238;8,240331492;94,9198895;17,17127072;8,077348066;7,883977901;8,240331492
61946;31154;11888;6236;8268;3054;1990;2266;8334;3731;363;170,6501377;32,74931129;22,7768595;5,482093664;10,27823691;85,82369146;17,17906336;8,41322314;6,242424242;10,27823691
62169;31266;11939;6256;7820;2808;2073;2366;8381;3572;364;170,793956;32,79945055;21,48351648;5,695054945;9,813186813;85,8956044;17,18681319;7,714285714;6,5;9,813186813
66992;33678;11910;6276;7992;2828;2141;2204;7671;2418;365;183,539726;32,63013699;21,89589041;5,865753425;6,624657534;92,26849315;17,19452055;7,747945205;6,038356164;6,624657534
69229;34797;11947;6296;8751;3308;1935;2214;7873;2780;366;189,1502732;32,6420765;23,90983607;5,286885246;7,595628415;95,07377049;17,20218579;9,038251366;6,049180328;7,595628415
67858;34112;12064;6316;8134;2916;2104;2350;7438;2567;367;184,8991826;32,8719346;22,16348774;5,732970027;6,994550409;92,94822888;17,20980926;7,945504087;6,403269755;6,994550409
66599;33483;12087;6336;8159;2892;2096;2240;7592;2855;368;180,9755435;32,8451087;22,17119565;5,695652174;7,758152174;90,98641304;17,2173913;7,858695652;6,086956522;7,758152174
67192;33780;12118;6356;9623;4186;1861;2056;8433;3377;369;182,0921409;32,8401084;26,07859079;5,043360434;9,151761518;91,54471545;17,22493225;11,34417344;5,571815718;9,151761518
66849;33609;12129;6376;10419;4320;2473;2384;7450;2784;370;180,672973;32,78108108;28,15945946;6,683783784;7,524324324;90,83513514;17,23243243;11,67567568;6,443243243;7,524324324
65998;33184;12184;6396;8316;2696;1955;2142;7517;2716;371;177,8921833;32,84097035;22,41509434;5,269541779;7,320754717;89,44474394;17,23989218;7,266846361;5,773584906;7,320754717
70351;35361;12229;6416;9987;3348;1981;2244;7618;2548;372;189,1155914;32,87365591;26,84677419;5,325268817;6,849462366;95,05645161;17,24731183;9;6,032258065;6,849462366
65314;32843;12256;6436;8309;3086;2511;2948;8610;3408;373;175,1045576;32,85790885;22,27613941;6,731903485;9,136729223;88,05093834;17,25469169;8,273458445;7,903485255;9,136729223
69533;34953;12303;6456;8665;2836;1976;2228;7494;2585;374;185,9171123;32,89572193;23,1684492;5,28342246;6,911764706;93,45721925;17,26203209;7,582887701;5,957219251;6,911764706
73736;37055;12312;6476;9271;3430;2028;2202;7570;2803;375;196,6293333;32,832;24,72266667;5,408;7,474666667;98,81333333;17,26933333;9,146666667;5,872;7,474666667
65545;32960;12369;6496;8387;2878;2072;2240;8943;4087;376;174,3218085;32,8962766;22,30585106;5,510638298;10,86968085;87,65957447;17,27659574;7,654255319;5,957446809;10,86968085
72294;36335;12396;6516;9110;3642;2243;2274;7546;2278;377;191,7612732;32,8806366;24,16445623;5,949602122;6,042440318;96,37931034;17,28381963;9,660477454;6,031830239;6,042440318
70123;35250;12473;6536;8095;2884;2347;2710;7763;3113;378;185,510582;32,9973545;21,41534392;6,208994709;8,235449735;93,25396825;17,29100529;7,62962963;7,169312169;8,235449735
75850;38114;12526;6556;10875;3742;2512;2602;8168;3164;379;200,1319261;33,05013193;28,6939314;6,627968338;8,34828496;100,5646438;17,29815303;9,873350923;6,865435356;8,34828496
72475;36427;12565;6576;8850;3032;2777;3208;7609;2652;380;190,7236842;33,06578947;23,28947368;7,307894737;6,978947368;95,86052632;17,30526316;7,978947368;8,442105263;6,978947368
72086;36233;12542;6596;8501;3366;2807;2686;8145;2741;381;189,2020997;32,91863517;22,31233596;7,367454068;7,194225722;95,09973753;17,31233596;8,834645669;7,049868766;7,194225722
70843;35612;12565;6616;8979;3056;2321;2478;8889;3691;382;185,4528796;32,89267016;23,5052356;6,07591623;9,662303665;93,22513089;17,31937173;8;6,486910995;9,662303665
73210;36796;12692;6636;9947;3194;2834;2734;7558;3100;383;191,1488251;33,1383812;25,97127937;7,399477807;8,093994778;96,07310705;17,32637076;8,339425587;7,138381201;8,093994778
71349;35866;12675;6656;9671;3576;2509;2798;7872;2858;384;185,8046875;33,0078125;25,18489583;6,533854167;7,442708333;93,40104167;17,33333333;9,3125;7,286458333;7,442708333
72698;36541;12732;6676;8912;3304;2680;2994;8334;3087;385;188,825974;33,07012987;23,14805195;6,961038961;8,018181818;94,91168831;17,34025974;8,581818182;7,776623377;8,018181818
76673;38529;12759;6696;8447;2794;2509;2738;7769;2876;386;198,634715;33,05440415;21,88341969;6,5;7,450777202;99,81606218;17,34715026;7,238341969;7,093264249;7,450777202
75314;37850;12834;6716;8364;3030;2356;2724;8343;3002;387;194,6098191;33,1627907;21,6124031;6,087855297;7,757105943;97,80361757;17,35400517;7,829457364;7,03875969;7,757105943
75477;37932;12825;6736;8318;3058;2194;2556;7552;2802;388;194,5283505;33,05412371;21,43814433;5,654639175;7,221649485;97,7628866;17,36082474;7,881443299;6,587628866;7,221649485
74990;37689;12880;6756;8694;3214;2172;2410;8513;3457;389;192,7763496;33,11053985;22,3496144;5,583547558;8,88688946;96,88688946;17,36760925;8,262210797;6,195372751;8,88688946
75877;38133;12885;6776;10205;3602;2358;2752;8385;3335;390;194,5564103;33,03846154;26,16666667;6,046153846;8,551282051;97,77692308;17,37435897;9,235897436;7,056410256;8,551282051
68190;34290;12916;6796;9095;2856;2328;2734;9257;3595;391;174,398977;33,03324808;23,26086957;5,953964194;9,194373402;87,69820972;17,38107417;7,304347826;6,992327366;9,194373402
75947;38169;13019;6816;8669;3252;2379;2634;8505;3017;392;193,7423469;33,21173469;22,11479592;6,068877551;7,696428571;97,36989796;17,3877551;8,295918367;6,719387755;7,696428571
75218;37805;12984;6836;8818;3058;2354;2890;8659;3251;393;191,394402;33,03816794;22,43765903;5,989821883;8,272264631;96,19592875;17,39440204;7,781170483;7,353689567;8,272264631
79625;40009;13073;6856;9094;3500;2349;2516;7898;3168;394;202,0939086;33,18020305;23,08121827;5,961928934;8,040609137;101,5456853;17,40101523;8,883248731;6,385786802;8,040609137
81580;40987;13088;6876;9190;3246;2392;2804;8298;3408;395;206,5316456;33,13417722;23,26582278;6,055696203;8,627848101;103,764557;17,40759494;8,217721519;7,098734177;8,627848101
81193;40794;13129;6896;9737;3292;2638;2852;7918;2958;396;205,0328283;33,1540404;24,58838384;6,661616162;7,46969697;103,0151515;17,41414141;8,313131313;7,202020202;7,46969697
80404;40400;13224;6916;9102;3264;2527;2808;8492;3143;397;202,5289673;33,30982368;22,92695214;6,365239295;7,916876574;101,7632242;17,42065491;8,221662469;7,073047859;7,916876574
76505;38451;13195;6936;8717;3446;2500;2782;8259;3394;398;192,2236181;33,15326633;21,90201005;6,281407035;8,527638191;96,61055276;17,42713568;8,658291457;6,989949749;8,527638191
78336;39367;13216;6956;10136;4062;2314;2588;8187;2932;399;196,3308271;33,12280702;25,40350877;5,799498747;7,348370927;98,6641604;17,43358396;10,18045113;6,486215539;7,348370927
83509;41954;13291;6976;9287;3450;2259;2654;7676;2876;400;208,7725;33,2275;23,2175;5,6475;7,19;104,885;17,44;8,625;6,635;7,19
82232;41316;13362;6996;9796;3796;2605;2876;8612;3611;401;205,0673317;33,32169576;24,42892768;6,496259352;9,004987531;103,032419;17,44638404;9,466334165;7,172069825;9,004987531
87359;43880;13419;7016;10687;4224;2612;2812;9267;3777;402;217,3109453;33,38059701;26,58457711;6,497512438;9,395522388;109,1542289;17,45273632;10,50746269;6,995024876;9,395522388
81416;40909;13386;7036;8860;3258;2679;3078;8343;3218;403;202,0248139;33,21588089;21,98511166;6,64764268;7,985111663;101,5111663;17,45905707;8,084367246;7,637717122;7,985111663
83573;41988;13491;7056;9069;3324;2282;2712;8000;3068;404;206,8638614;33,39356436;22,4480198;5,648514851;7,594059406;103,9306931;17,46534653;8,227722772;6,712871287;7,594059406
81024;40714;13512;7076;10084;3216;2277;2730;8044;3004;405;200,0592593;33,36296296;24,89876543;5,622222222;7,417283951;100,5283951;17,47160494;7,940740741;6,740740741;7,417283951
82337;41371;13515;7096;10205;3798;2985;2772;8012;3001;406;202,8004926;33,28817734;25,13546798;7,352216749;7,391625616;101,8990148;17,47783251;9,354679803;6,827586207;7,391625616
84828;42617;13582;7116;9381;3232;2480;2364;10473;3826;407;208,4226044;33,37100737;23,04914005;6,093366093;9,4004914;104,7100737;17,48402948;7,941031941;5,808353808;9,4004914
85237;42822;13593;7136;9668;2910;2789;2998;11242;4780;408;208,9142157;33,31617647;23,69607843;6,835784314;11,71568627;104,9558824;17,49019608;7,132352941;7,348039216;11,71568627
81172;40790;13582;7156;10668;3730;2879;3028;8016;2991;409;198,4645477;33,20782396;26,08312958;7,039119804;7,312958435;99,73105134;17,49633252;9,119804401;7,403422983;7,312958435
79157;39783;13679;7176;8939;3282;2954;2994;9285;3534;410;193,0658537;33,36341463;21,80243902;7,204878049;8,619512195;97,03170732;17,50243902;8,004878049;7,302439024;8,619512195
80394;40402;13752;7196;9910;3426;2317;2328;8490;3151;411;195,6058394;33,45985401;24,11192214;5,637469586;7,666666667;98,30170316;17,50851582;8,335766423;5,664233577;7,666666667
85031;42721;13781;7216;9276;3044;2773;2848;8775;3708;412;206,3859223;33,44902913;22,51456311;6,730582524;9;103,6917476;17,51456311;7,388349515;6,912621359;9
86568;43490;13788;7236;9682;3198;2728;2496;9166;3953;413;209,6077482;33,38498789;23,44309927;6,605326877;9,571428571;105,3026634;17,52058111;7,743341404;6,043583535;9,571428571
83333;41873;13807;7256;11221;3628;1970;2398;8314;3103;414;201,2874396;33,35024155;27,10386473;4,758454106;7,495169082;101,1425121;17,52657005;8,763285024;5,792270531;7,495169082
80770;40592;13900;7276;9457;3212;2553;2806;8194;3221;415;194,626506;33,4939759;22,78795181;6,151807229;7,761445783;97,81204819;17,53253012;7,739759036;6,761445783;7,761445783
90001;45208;13889;7296;10610;4606;2868;3150;9080;3578;416;216,3485577;33,38701923;25,50480769;6,894230769;8,600961538;108,6730769;17,53846154;11,07211538;7,572115385;8,600961538
84258;42337;13936;7316;10157;4036;2797;3090;9601;3580;417;202,057554;33,41966427;24,35731415;6,707434053;8,585131894;101,5275779;17,54436451;9,678657074;7,410071942;8,585131894
89119;44768;13971;7336;10297;4404;3291;3618;9376;4181;418;213,2033493;33,42344498;24,63397129;7,873205742;10,00239234;107,1004785;17,55023923;10,53588517;8,655502392;10,00239234
88610;44514;14020;7356;10881;4178;2655;2802;10772;4167;419;211,4797136;33,46062053;25,96897375;6,336515513;9,945107399;106,2386635;17,55608592;9,971360382;6,687350835;9,945107399
88557;44488;14077;7376;9367;3330;2618;2762;8572;2901;420;210,85;33,51666667;22,30238095;6,233333333;6,907142857;105,9238095;17,56190476;7,928571429;6,576190476;6,907142857
91042;45731;14128;7396;10562;4226;2277;2548;10641;4534;421;216,2517815;33,55819477;25,08788599;5,408551069;10,7695962;108,6247031;17,56769596;10,03800475;6,052256532;10,7695962
89375;44898;14153;7416;10213;4126;2576;2702;10016;3495;422;211,7890995;33,53791469;24,2014218;6,104265403;8,281990521;106,3933649;17,57345972;9,777251185;6,402843602;8,281990521
88858;44640;14200;7436;10388;3510;2972;2978;9924;3135;423;210,0661939;33,56973995;24,55791962;7,026004728;7,411347518;105,5319149;17,57919622;8,29787234;7,040189125;7,411347518
90221;45322;14251;7456;10686;4326;2416;2748;8642;3140;424;212,7853774;33,61084906;25,20283019;5,698113208;7,405660377;106,8915094;17,58490566;10,20283019;6,481132075;7,405660377
89948;45186;14276;7476;10226;3836;2407;2838;8876;3822;425;211,6423529;33,59058824;24,06117647;5,663529412;8,992941176;106,32;17,59058824;9,025882353;6,677647059;8,992941176
93031;46728;14293;7496;10081;3750;2650;2602;9321;4106;426;218,3826291;33,55164319;23,66431925;6,220657277;9,638497653;109,6901408;17,59624413;8,802816901;6,107981221;9,638497653
91748;46087;14330;7516;10230;3464;2520;2804;8995;3309;427;214,8665105;33,55971897;23,95784543;5,901639344;7,74941452;107,9320843;17,60187354;8,112412178;6,566744731;7,74941452
90811;45619;14363;7536;10582;3084;2904;3164;10354;3681;428;212,1752336;33,55841121;24,72429907;6,785046729;8,60046729;106,5864486;17,60747664;7,205607477;7,392523364;8,60046729
91496;45962;14452;7556;10375;3572;2494;2644;9318;4011;429;213,2773893;33,68764569;24,18414918;5,813519814;9,34965035;107,1375291;17,61305361;8,326340326;6,163170163;9,34965035
96589;48509;14467;7576;10178;3452;3185;3194;9006;3826;430;224,6255814;33,64418605;23,66976744;7,406976744;8,897674419;112,8116279;17,61860465;8,027906977;7,427906977;8,897674419
95548;47989;14512;7596;10374;4250;2673;2734;8926;2780;431;221,6890951;33,67053364;24,06960557;6,201856148;6,450116009;111,3433875;17,62412993;9,860788863;6,343387471;6,450116009
93179;46805;14571;7616;10965;3470;2694;2920;9913;4288;432;215,6921296;33,72916667;25,38194444;6,236111111;9,925925926;108,3449074;17,62962963;8,032407407;6,759259259;9,925925926
96974;48703;14614;7636;10166;3338;2500;2692;8611;2972;433;223,9584296;33,75057737;23,47806005;5,773672055;6,863741339;112,47806;17,63510393;7,709006928;6,217090069;6,863741339
96389;48411;14623;7656;9865;3198;2429;2758;10724;3723;434;222,09447;33,69354839;22,73041475;5,596774194;8,578341014;111,5460829;17,640553;7,368663594;6,35483871;8,578341014
93090;46762;14650;7676;10443;4428;2639;2772;10545;4230;435;214;33,67816092;24,00689655;6,066666667;9,724137931;107,4988506;17,64597701;10,17931034;6,372413793;9,724137931
95643;48039;14647;7696;12036;3604;3426;3046;10038;3626;436;219,3646789;33,5940367;27,60550459;7,857798165;8,316513761;110,1811927;17,65137615;8,266055046;6,986238532;8,316513761
101130;50783;14760;7716;10751;4104;2442;2698;9625;3381;437;231,4187643;33,77574371;24,60183066;5,588100686;7,736842105;116,208238;17,65675057;9,391304348;6,173913043;7,736842105
101567;51002;14781;7736;10499;4192;3123;3252;9119;3699;438;231,8881279;33,74657534;23,97031963;7,130136986;8,445205479;116,4429224;17,66210046;9,570776256;7,424657534;8,445205479
97082;48760;14816;7756;9732;3280;2861;3014;9063;3116;439;221,143508;33,74943052;22,16856492;6,517084282;7,097949886;111,070615;17,66742597;7,471526196;6,865603645;7,097949886
98267;49353;14827;7776;9961;3556;3064;3506;9642;3595;440;223,3340909;33,69772727;22,63863636;6,963636364;8,170454545;112,1659091;17,67272727;8,081818182;7,968181818;8,170454545
102140;51290;14868;7796;11171;3518;2654;3164;9078;4115;441;231,6099773;33,71428571;25,33106576;6,01814059;9,33106576;116,3038549;17,67800454;7,977324263;7,174603175;9,33106576
94367;47404;14889;7816;10563;3716;2521;3036;9528;3220;442;213,5;33,68552036;23,89819005;5,70361991;7,285067873;107,2488688;17,68325792;8,407239819;6,868778281;7,285067873
99058;49750;14980;7836;10551;3790;2452;3016;9490;3387;443;223,6072235;33,81489842;23,81715576;5,534988713;7,645598194;112,3024831;17,68848758;8,55530474;6,808126411;7,645598194
101439;50941;15027;7856;10190;3578;2637;2942;9954;3640;444;228,4662162;33,84459459;22,95045045;5,939189189;8,198198198;114,731982;17,69369369;8,058558559;6,626126126;8,198198198
100380;50412;15024;7876;9971;3440;3058;3020;9162;3080;445;225,5730337;33,76179775;22,40674157;6,871910112;6,921348315;113,2853933;17,6988764;7,730337079;6,786516854;6,921348315
101483;50964;15057;7896;12157;4434;3005;3464;10137;4051;446;227,5403587;33,76008969;27,25784753;6,737668161;9,082959641;114,2690583;17,70403587;9,941704036;7,766816143;9,082959641
97202;48824;15078;7916;10355;3678;2911;2856;10893;3732;447;217,4541387;33,73154362;23,1655481;6,512304251;8,348993289;109,2259508;17,70917226;8,228187919;6,389261745;8,348993289
97657;49052;15179;7936;10474;3414;2952;3092;9458;3536;448;217,984375;33,88169643;23,37946429;6,589285714;7,892857143;109,4910714;17,71428571;7,620535714;6,901785714;7,892857143
100958;50703;15186;7956;10016;3144;2598;3032;9754;4238;449;224,8507795;33,82182628;22,30734967;5,786191537;9,438752784;112,9242762;17,71937639;7,002227171;6,752783964;9,438752784
99373;49911;15277;7976;10546;3212;2752;3086;10006;3991;450;220,8288889;33,94888889;23,43555556;6,115555556;8,868888889;110,9133333;17,72444444;7,137777778;6,857777778;8,868888889
101734;51092;15298;7996;10338;3718;2826;3378;9074;3330;451;225,5742794;33,92017738;22,92239468;6,266075388;7,383592018;113,286031;17,72949002;8,243902439;7,490022173;7,383592018
102315;51383;15305;8016;11282;3846;2662;2848;10952;3463;452;226,3606195;33,86061947;24,96017699;5,889380531;7,661504425;113,6792035;17,73451327;8,508849558;6,300884956;7,661504425
104002;52227;15392;8036;11000;4006;2812;3132;9153;3668;453;229,584989;33,97792494;24,28256071;6,207505519;8,097130243;115,2913907;17,73951435;8,843267108;6,913907285;8,097130243
101501;50977;15391;8056;10288;3588;3218;3560;10770;4669;454;223,5704846;33,90088106;22,66079295;7,088105727;10,28414097;112,284141;17,74449339;7,9030837;7,841409692;10,28414097
102830;51642;15418;8076;11571;4122;2783;2896;9910;4085;455;226;33,88571429;25,43076923;6,116483516;8,978021978;113,4989011;17,74945055;9,059340659;6,364835165;8,978021978
100383;50419;15457;8096;10892;4162;2703;3252;9812;3430;456;220,1381579;33,89692982;23,88596491;5,927631579;7,521929825;110,5679825;17,75438596;9,127192982;7,131578947;7,521929825
