insertion (cmp);insertion (swp);merge (cmp);merge (swp);quick (cmp);quick (swp);dual pivot (cmp);dual pivot (swp);hybrid (cmp);hybrid (swp);n;insertion (cmp/n);merge (cmp/n);quick (cmp/n);dual pivot (cmp/n);hybrid (cmp/n);insertion (swp/n);merge (swp/n);quick (swp/n);dual pivot (swp/n);hybrid (swp/n)
20221;10212;5963;3160;3904;1252;997;1162;3908;1178;204;99,12254902;29,23039216;19,1372549;4,887254902;5,774509804;50,05882353;15,49019608;6,137254902;5,696078431;5,774509804
20472;10338;6036;3178;3860;1268;1210;1446;3587;1139;205;99,86341463;29,44390244;18,82926829;5,902439024;5,556097561;50,42926829;15,50243902;6,185365854;7,053658537;5,556097561
22611;11408;6063;3196;3853;1432;1298;1442;3439;1123;206;109,7621359;29,43203883;18,7038835;6,300970874;5,451456311;55,37864078;15,51456311;6,951456311;7;5,451456311
21876;11041;6094;3214;4170;1568;1019;1226;3292;1206;207;105,6811594;29,43961353;20,14492754;4,922705314;5,826086957;53,33816425;15,52657005;7,574879227;5,922705314;5,826086957
21127;10667;6111;3232;4104;1600;1230;1306;4303;1585;208;101,5721154;29,37980769;19,73076923;5,913461538;7,620192308;51,28365385;15,53846154;7,692307692;6,278846154;7,620192308
24086;12147;6162;3250;4123;1674;1019;1210;4013;1703;209;115,2440191;29,48325359;19,72727273;4,875598086;8,148325359;58,11961722;15,55023923;8,009569378;5,789473684;8,148325359
21417;10813;6221;3268;3936;1488;1072;1240;4010;1439;210;101,9857143;29,62380952;18,74285714;5,104761905;6,852380952;51,49047619;15,56190476;7,085714286;5,904761905;6,852380952
22572;11391;6224;3286;4144;1452;1333;1238;3634;1341;211;106,9763033;29,49763033;19,63981043;6,317535545;6,355450237;53,98578199;15,57345972;6,881516588;5,867298578;6,355450237
21031;10621;6291;3304;4031;1240;1105;1250;3677;1370;212;99,20283019;29,6745283;19,01415094;5,212264151;6,462264151;50,0990566;15,58490566;5,849056604;5,896226415;6,462264151
22690;11451;6270;3322;4157;1408;1129;1152;4250;1598;213;106,5258216;29,43661972;19,51643192;5,300469484;7,502347418;53,76056338;15,59624413;6,610328638;5,408450704;7,502347418
21177;10695;6359;3340;4147;1726;1107;1218;4269;1936;214;98,95794393;29,71495327;19,37850467;5,172897196;9,046728972;49,97663551;15,60747664;8,065420561;5,691588785;9,046728972
22134;11174;6390;3358;4906;1600;1291;1368;3951;1670;215;102,9488372;29,72093023;22,81860465;6,004651163;7,76744186;51,97209302;15,61860465;7,441860465;6,362790698;7,76744186
24521;12368;6407;3376;4274;1546;1206;1256;4027;1502;216;113,5231481;29,66203704;19,78703704;5,583333333;6,953703704;57,25925926;15,62962963;7,157407407;5,814814815;6,953703704
23984;12100;6430;3394;4738;1636;1079;1140;3768;1367;217;110,5253456;29,63133641;21,83410138;4,97235023;6,299539171;55,76036866;15,640553;7,539170507;5,253456221;6,299539171
25143;12680;6497;3412;4508;1398;1154;1308;4025;1480;218;115,3348624;29,80275229;20,67889908;5,293577982;6,788990826;58,16513761;15,65137615;6,412844037;6;6,788990826
25158;12688;6504;3430;4254;1406;1363;1326;3719;1328;219;114,8767123;29,69863014;19,42465753;6,223744292;6,063926941;57,93607306;15,66210046;6,420091324;6,054794521;6,063926941
24269;12244;6519;3448;4811;1804;978;1182;4175;1517;220;110,3136364;29,63181818;21,86818182;4,445454545;6,895454545;55,65454545;15,67272727;8,2;5,372727273;6,895454545
25650;12935;6568;3466;4650;1678;1243;1240;4001;1686;221;116,0633484;29,71945701;21,04072398;5,624434389;7,628959276;58,52941176;15,68325792;7,592760181;5,610859729;7,628959276
24377;12299;6613;3484;4394;1696;1526;1408;4326;1954;222;109,8063063;29,78828829;19,79279279;6,873873874;8,801801802;55,4009009;15,69369369;7,63963964;6,342342342;8,801801802
26270;13246;6660;3502;5196;2094;978;1264;3789;1149;223;117,8026906;29,86547085;23,30044843;4,385650224;5,152466368;59,39910314;15,70403587;9,390134529;5,668161435;5,152466368
25531;12877;6687;3520;4401;1374;1459;1546;4083;1597;224;113,9776786;29,85267857;19,64732143;6,513392857;7,129464286;57,48660714;15,71428571;6,133928571;6,901785714;7,129464286
25666;12945;6688;3538;5450;2094;1113;1306;4011;1502;225;114,0711111;29,72444444;24,22222222;4,946666667;6,675555556;57,53333333;15,72444444;9,306666667;5,804444444;6,675555556
25779;13002;6747;3556;4679;1340;1122;1346;4062;1777;226;114,0663717;29,8539823;20,70353982;4,96460177;7,862831858;57,53097345;15,73451327;5,92920354;5,955752212;7,862831858
24254;12240;6766;3574;5669;2260;1211;1402;4733;1884;227;106,845815;29,8061674;24,97356828;5,334801762;8,299559471;53,92070485;15,74449339;9,955947137;6,176211454;8,299559471
26545;13386;6821;3592;4033;1310;1266;1364;4502;1644;228;116,4254386;29,91666667;17,68859649;5,552631579;7,210526316;58,71052632;15,75438596;5,745614035;5,98245614;7,210526316
26162;13195;6872;3610;5062;1772;1209;1296;4471;1897;229;114,2445415;30,00873362;22,10480349;5,279475983;8,283842795;57,62008734;15,76419214;7,737991266;5,659388646;8,283842795
27073;13651;6913;3628;5119;1674;1282;1428;4241;1539;230;117,7086957;30,05652174;22,25652174;5,573913043;6,691304348;59,35217391;15,77391304;7,27826087;6,208695652;6,691304348
26586;13408;6930;3646;4894;1798;1130;1330;4498;1395;231;115,0909091;30;21,18614719;4,891774892;6,038961039;58,04329004;15,78354978;7,783549784;5,757575758;6,038961039
26035;13133;6953;3664;5296;2152;1218;1510;4253;1665;232;112,2198276;29,96982759;22,82758621;5,25;7,176724138;56,60775862;15,79310345;9,275862069;6,50862069;7,176724138
28564;14398;7002;3682;4655;1650;1258;1418;4305;1754;233;122,5922747;30,05150215;19,97854077;5,399141631;7,527896996;61,79399142;15,80257511;7,081545064;6,08583691;7,527896996
24051;12142;7047;3700;5724;1768;1087;1414;5374;2323;234;102,7820513;30,11538462;24,46153846;4,645299145;9,927350427;51,88888889;15,81196581;7,555555556;6,042735043;9,927350427
27204;13719;7068;3718;5319;2362;1371;1344;4766;1922;235;115,7617021;30,07659574;22,63404255;5,834042553;8,178723404;58,3787234;15,8212766;10,05106383;5,719148936;8,178723404
27515;13875;7123;3736;4860;1552;1199;1448;4381;1481;236;116,5889831;30,18220339;20,59322034;5,080508475;6,275423729;58,79237288;15,83050847;6,576271186;6,13559322;6,275423729
28654;14445;7124;3754;5805;1928;1722;1632;4165;1563;237;120,9029536;30,05907173;24,49367089;7,265822785;6,594936709;60,94936709;15,83966245;8,135021097;6,886075949;6,594936709
29661;14949;7153;3772;4998;1592;1586;1716;4725;1908;238;124,6260504;30,05462185;21;6,663865546;8,016806723;62,81092437;15,8487395;6,68907563;7,210084034;8,016806723
28654;14446;7192;3790;4760;1630;1314;1316;4382;1616;239;119,8912134;30,09205021;19,91631799;5,49790795;6,761506276;60,44351464;15,85774059;6,820083682;5,506276151;6,761506276
31489;15864;7245;3808;5565;1940;1406;1528;4487;1511;240;131,2041667;30,1875;23,1875;5,858333333;6,295833333;66,1;15,86666667;8,083333333;6,366666667;6,295833333
28538;14389;7302;3826;4778;1660;1597;1676;4364;1609;241;118,4149378;30,29875519;19,82572614;6,626556017;6,676348548;59,70539419;15,87551867;6,887966805;6,954356846;6,676348548
32585;16413;7313;3844;4745;1592;1157;1310;4553;1519;242;134,6487603;30,21900826;19,60743802;4,780991736;6,276859504;67,82231405;15,88429752;6,578512397;5,41322314;6,276859504
29164;14703;7336;3862;4724;1722;1136;1480;4362;1748;243;120,0164609;30,18930041;19,44032922;4,674897119;7,193415638;60,50617284;15,89300412;7,086419753;6,090534979;7,193415638
28333;14288;7375;3880;6459;2388;1055;1424;4647;1625;244;116,1188525;30,22540984;26,47131148;4,323770492;6,659836066;58,55737705;15,90163934;9,786885246;5,836065574;6,659836066
31774;16009;7426;3898;5670;1652;1864;1598;4686;1852;245;129,6897959;30,31020408;23,14285714;7,608163265;7,559183673;65,34285714;15,91020408;6,742857143;6,52244898;7,559183673
27543;13894;7449;3916;5117;1916;1604;1866;5173;1974;246;111,9634146;30,2804878;20,80081301;6,520325203;8,024390244;56,4796748;15,91869919;7,788617886;7,585365854;8,024390244
