insertion cmp;insertion swp;merge cmp;merge swp;quick cmp;quick swp;dual pivot cmp;dual pivot swp;hybrid cmp;hybrid swp;
0;0;0;0;0;0;0;0;0;0;
1;1;7;4;3;2;1;4;2;1;
4;3;17;10;9;3;2;6;5;3;
9;6;28;16;14;6;3;7;8;5;
13;8;42;24;22;8;5;11;9;6;
21;13;57;32;32;11;8;15;12;8;
26;16;72;40;36;13;10;17;14;9;
36;21;87;48;49;16;13;21;17;11;
33;20;105;58;64;20;15;24;37;18;
55;32;121;68;66;22;16;27;50;18;
65;37;140;78;88;24;21;32;56;24;
74;42;160;88;91;28;25;36;67;25;
85;48;176;98;103;34;23;39;92;35;
108;60;196;108;120;37;29;43;85;33;
113;63;215;118;129;36;34;50;91;35;
122;68;233;128;134;45;33;52;103;44;
143;79;257;140;148;47;38;57;133;49;
160;88;279;152;162;58;48;60;134;53;
185;101;299;164;172;59;39;62;147;57;
211;115;320;176;178;59;42;69;131;55;
226;123;345;188;218;65;54;71;169;59;
222;121;367;200;217;69;62;78;194;64;
257;139;387;212;231;78;53;80;176;69;
282;152;412;224;260;84;62;84;211;75;
314;169;436;236;266;86;70;90;228;83;
360;192;457;248;277;89;80;98;226;88;
367;196;482;260;307;100;77;102;230;95;
396;211;501;272;335;103;90;113;262;92;
425;226;525;284;323;113;77;107;273;103;
450;239;548;296;331;121;92;113;284;104;
474;252;572;308;336;121;93;117;302;114;
520;275;594;320;373;139;100;130;308;114;
547;289;620;334;376;127;96;123;300;125;
606;319;649;348;408;131;114;137;349;118;
626;330;673;362;425;141;119;130;376;132;
658;346;700;376;431;140;117;144;378;128;
657;346;725;390;453;155;117;153;375;145;
704;370;748;404;476;163;131;171;366;142;
790;414;775;418;503;163;126;152;417;169;
828;433;802;432;510;176;121;166;492;183;
814;427;827;446;536;181;138;168;415;169;
894;467;850;460;547;187;128;177;456;174;
920;481;879;474;566;184;139;174;466;178;
975;509;907;488;602;212;144;187;492;177;
1024;534;932;502;614;200;148;187;516;188;
1074;559;957;516;611;199;165;203;561;212;
1038;542;985;530;640;230;186;209;537;200;
1106;576;1009;544;646;214;172;208;553;212;
1238;643;1038;558;658;233;180;212;601;231;
1254;651;1061;572;670;233;161;214;596;198;
1395;722;1088;586;704;243;186;228;562;226;
1369;710;1118;600;773;260;193;225;593;233;
1439;745;1144;614;698;262;190;229;658;239;
1485;769;1176;628;752;260;190;245;669;240;
1534;794;1203;642;735;283;199;240;637;245;
1585;820;1226;656;828;272;209;261;617;225;
1672;864;1255;670;797;274;207;252;707;280;
1646;851;1280;684;832;278;217;261;745;255;
1761;909;1305;698;873;315;226;274;726;276;
1871;965;1336;712;898;291;217;272;755;273;
1786;923;1363;726;907;305;239;298;729;303;
1893;977;1384;740;875;300;231;283;750;285;
1952;1007;1413;754;952;320;255;289;843;307;
2048;1055;1440;768;937;351;241;288;862;297;
2155;1109;1465;784;964;371;256;290;878;320;
2192;1128;1496;800;978;337;253;301;909;343;
2327;1196;1528;816;1018;326;269;316;886;336;
2271;1169;1561;832;1003;353;260;318;898;322;
2354;1211;1595;848;1014;341;270;335;918;342;
2461;1265;1619;864;1148;337;299;339;958;342;
2595;1332;1649;880;1076;378;276;329;965;382;
2654;1362;1681;896;1052;357;295;337;1002;368;
2654;1363;1708;912;1069;341;298;359;941;358;
2764;1418;1744;928;1101;388;279;359;1070;396;
2845;1459;1770;944;1139;388;306;376;966;361;
2865;1470;1796;960;1163;424;312;359;1091;394;
3101;1588;1828;976;1206;424;331;392;1065;395;
3049;1563;1860;992;1247;416;319;384;1049;399;
3079;1578;1891;1008;1359;407;310;380;1115;395;
3198;1638;1924;1024;1287;435;345;405;1101;361;
3313;1696;1942;1040;1274;447;328;384;1077;414;
3412;1746;1978;1056;1271;446;342;410;1118;437;
3506;1794;2006;1072;1444;463;357;422;1157;439;
3608;1845;2038;1088;1338;480;324;401;1161;431;
3628;1856;2073;1104;1328;460;351;432;1265;448;
3710;1897;2101;1120;1419;506;356;408;1200;402;
3684;1885;2135;1136;1424;501;376;442;1278;482;
3957;2022;2168;1152;1486;484;405;444;1221;469;
3773;1930;2193;1168;1449;508;385;459;1225;439;
3939;2014;2219;1184;1485;496;399;461;1267;511;
4122;2106;2249;1200;1527;543;375;441;1354;506;
4259;2175;2283;1216;1473;494;374;467;1374;443;
4328;2210;2309;1232;1549;544;442;473;1267;485;
4565;2329;2344;1248;1621;593;418;479;1431;491;
4458;2276;2370;1264;1526;528;414;500;1416;534;
4671;2383;2402;1280;1668;547;417;485;1365;551;
4910;2503;2432;1296;1618;562;421;490;1572;578;
4820;2458;2459;1312;1691;578;417;483;1515;573;
4740;2419;2495;1328;1659;603;452;493;1370;518;
