insertion (cmp);insertion (swp);merge (cmp);merge (swp);quick (cmp);quick (swp);dual pivot (cmp);dual pivot (swp);hybrid (cmp);hybrid (swp);n;insertion (cmp/n);merge (cmp/n);quick (cmp/n);dual pivot (cmp/n);hybrid (cmp/n);insertion (swp/n);merge (swp/n);quick (swp/n);dual pivot (swp/n);hybrid (swp/n);wpolczynnik QS;wspolczynnik DP QS
37140;18705;8410;4416;5958;2138;1589;1738;5422;2056;272;136,5441176;30,91911765;21,90441176;5,841911765;7,558823529;68,76838235;16,23529412;7,860294118;6,389705882;7,558823529;1,402171183;1,139837941
37207;18739;8447;4436;5916;2102;1520;1707;5406;2040;273;136,2893773;30,94139194;21,67032967;5,567765568;7,472527473;68,64102564;16,24908425;7,6996337;6,252747253;7,472527473;1,372612963;1,114676654
37549;18911;8484;4456;6005;2106;1558;1733;5425;2045;274;137,040146;30,96350365;21,91605839;5,686131387;7,46350365;69,01824818;16,26277372;7,686131387;6,324817518;7,46350365;1,369313374;1,12679016
37907;19090;8518;4476;6078;2200;1564;1708;5413;2059;275;137,8436364;30,97454545;22,10181818;5,687272727;7,487272727;69,41818182;16,27636364;8;6,210909091;7,487272727;1,424305862;1,105779278
38328;19301;8559;4496;6099;2214;1544;1735;5506;2054;276;138,8695652;31,01086957;22,09782609;5,594202899;7,442028986;69,93115942;16,28985507;8,02173913;6,286231884;7,442028986;1,427253913;1,11846682
38333;19304;8599;4516;6065;2147;1555;1744;5541;2077;277;138,3862816;31,0433213;21,89530686;5,613718412;7,498194946;69,68953069;16,3032491;7,750902527;6,296028881;7,498194946;1,378178947;1,11948956
38804;19540;8638;4536;6049;2158;1556;1726;5596;2120;278;139,5827338;31,07194245;21,75899281;5,597122302;7,625899281;70,28776978;16,31654676;7,762589928;6,208633094;7,625899281;1,379373233;1,10324291
38913;19595;8673;4556;6313;2286;1571;1732;5579;2093;279;139,4731183;31,08602151;22,62724014;5,630824373;7,501792115;70,23297491;16,3297491;8,193548387;6,207885305;7,501792115;1,455024017;1,102406648
39019;19649;8711;4576;6158;2189;1567;1758;5621;2158;280;139,3535714;31,11071429;21,99285714;5,596428571;7,707142857;70,175;16,34285714;7,817857143;6,278571429;7,707142857;1,387426629;1,114251262
39467;19873;8750;4596;6234;2250;1585;1748;5673;2160;281;140,4519573;31,13879004;22,18505338;5,640569395;7,68683274;70,72241993;16,35587189;8,007117438;6,220640569;7,68683274;1,420115957;1,103272308
39613;19947;8785;4616;6214;2220;1624;1771;5590;2122;282;140,4716312;31,15248227;22,03546099;5,758865248;7,524822695;70,73404255;16,36879433;7,872340426;6,280141844;7,524822695;1,395333232;1,113123943
40413;20347;8825;4636;6250;2233;1599;1783;5676;2140;283;142,8021201;31,18374558;22,08480565;5,650176678;7,561837456;71,8975265;16,38162544;7,890459364;6,300353357;7,561837456;1,397667803;1,116006132
40467;20375;8862;4656;6346;2266;1606;1784;5544;2116;284;142,4894366;31,20422535;22,34507042;5,654929577;7,450704225;71,74295775;16,3943662;7,978873239;6,281690141;7,450704225;1,412446385;1,11200545
40490;20387;8901;4676;6312;2264;1621;1815;5596;2172;285;142,0701754;31,23157895;22,14736842;5,687719298;7,621052632;71,53333333;16,40701754;7,943859649;6,368421053;7,621052632;1,405373703;1,126657805
41154;20719;8939;4696;6321;2247;1653;1817;5742;2187;286;143,8951049;31,25524476;22,1013986;5,77972028;7,646853147;72,44405594;16,41958042;7,856643357;6,353146853;7,646853147;1,389083227;1,123259557
41342;20814;8975;4716;6305;2206;1622;1791;5690;2160;287;144,0487805;31,271777;21,96864111;5,651567944;7,526132404;72,52264808;16,43205575;7,68641115;6,240418118;7,526132404;1,358147416;1,102648242
41441;20864;9012;4736;6379;2281;1667;1857;5844;2164;288;143,8923611;31,29166667;22,14930556;5,788194444;7,513888889;72,44444444;16,44444444;7,920138889;6,447916667;7,513888889;1,39858629;1,138612337
41447;20867;9049;4756;6427;2273;1675;1848;5793;2177;289;143,4152249;31,31141869;22,23875433;5,795847751;7,532871972;72,20415225;16,4567474;7,865051903;6,394463668;7,532871972;1,388009117;1,128482555
41579;20934;9093;4776;6520;2349;1648;1826;5834;2193;290;143,3758621;31,35517241;22,48275862;5,682758621;7,562068966;72,1862069;16,46896552;8,1;6,296551724;7,562068966;1,428601431;1,110526272
42430;21360;9128;4796;6514;2357;1681;1856;5854;2207;291;145,8075601;31,36769759;22,38487973;5,776632302;7,58419244;73,40206186;16,48109966;8,099656357;6,378006873;7,58419244;1,427674041;1,124210022
42894;21592;9164;4816;6504;2333;1675;1852;5908;2260;292;146,8972603;31,38356164;22,2739726;5,73630137;7,739726027;73,94520548;16,49315068;7,989726027;6,342465753;7,739726027;1,407446281;1,11726983
43235;21763;9204;4836;6485;2333;1723;1884;5906;2218;293;147,559727;31,41296928;22,1331058;5,880546075;7,56996587;74,27645051;16,50511945;7,962457338;6,43003413;7,56996587;1,401798481;1,132013862
43222;21757;9246;4856;6546;2381;1717;1895;5986;2254;294;147,0136054;31,44897959;22,26530612;5,840136054;7,666666667;74,00340136;16,5170068;8,098639456;6,445578231;7,666666667;1,424918764;1,134070163
43387;21840;9283;4876;6531;2357;1741;1909;5998;2228;295;147,0745763;31,46779661;22,13898305;5,901694915;7,552542373;74,03389831;16,52881356;7,989830508;6,471186441;7,552542373;1,404934962;1,137895988
43939;22117;9320;4896;6574;2360;1738;1909;6012;2258;296;148,4425676;31,48648649;22,20945946;5,871621622;7,628378378;74,71959459;16,54054054;7,972972973;6,449324324;7,628378378;1,401136965;1,133377316
44235;22265;9359;4916;6711;2372;1744;1907;5956;2277;297;148,9393939;31,51178451;22,5959596;5,872053872;7,666666667;74,96632997;16,55218855;7,986531987;6,420875421;7,666666667;1,402688393;1,127709429
44348;22322;9394;4936;6580;2377;1703;1906;6091;2305;298;148,8187919;31,52348993;22,08053691;5,714765101;7,734899329;74,90604027;16,56375839;7,976510067;6,395973154;7,734899329;1,400101663;1,122673021
44973;22635;9431;4956;6728;2422;1692;1916;6125;2347;299;150,4113712;31,54180602;22,50167224;5,658862876;7,849498328;75,70234114;16,57525084;8,100334448;6,408026756;7,849498328;1,421000725;1,124127741
45455;22877;9470;4976;6647;2392;1727;1928;6067;2286;300;151,5166667;31,56666667;22,15666667;5,756666667;7,62;76,25666667;16,58666667;7,973333333;6,426666667;7,62;1,397902772;1,126737686
45381;22840;9504;4996;6754;2415;1757;1914;6170;2296;301;150,7674419;31,57475083;22,43853821;5,837209302;7,627906977;75,88039867;16,59800664;8,023255814;6,358803987;7,627906977;1,40583508;1,11418979
45508;22904;9545;5016;6712;2392;1770;1955;6081;2310;302;150,6887417;31,60596026;22,22516556;5,860927152;7,649006623;75,8410596;16,60927152;7,920529801;6,473509934;7,649006623;1,387029337;1,133629747
46102;23202;9583;5036;6773;2430;1743;1954;6150;2311;303;152,1518152;31,62706271;22,35313531;5,752475248;7,627062706;76,57425743;16,62046205;8,01980198;6,448844884;7,627062706;1,403601158;1,128657063
46460;23381;9624;5056;6845;2429;1790;1967;6281;2398;304;152,8289474;31,65789474;22,51644737;5,888157895;7,888157895;76,91118421;16,63157895;7,990131579;6,470394737;7,888157895;1,39760239;1,131775999
46976;23640;9660;5076;6806;2416;1766;1954;6240;2379;305;154,0196721;31,67213115;22,3147541;5,790163934;7,8;77,50819672;16,64262295;7,921311475;6,406557377;7,8;1,384769185;1,119966468
46814;23559;9701;5096;6824;2462;1746;1954;6224;2393;306;152,9869281;31,70261438;22,30065359;5,705882353;7,820261438;76,99019608;16,65359477;8,045751634;6,385620915;7,820261438;1,405718879;1,11566803
47353;23829;9737;5116;6930;2440;1823;1992;6240;2333;307;154,2442997;31,71661238;22,5732899;5,938110749;7,599348534;77,61889251;16,66449511;7,947882736;6,488599349;7,599348534;1,387828538;1,133014118
47621;23964;9775;5136;6972;2481;1786;1961;6276;2338;308;154,6136364;31,73701299;22,63636364;5,798701299;7,590909091;77,80519481;16,67532468;8,055194805;6,366883117;7,590909091;1,405768679;1,111129537
47845;24076;9812;5156;6891;2447;1798;1970;6244;2357;309;154,8381877;31,75404531;22,30097087;5,818770227;7,627831715;77,91585761;16,68608414;7,919093851;6,375404531;7,627831715;1,381235386;1,111987622
47998;24153;9851;5176;6883;2451;1794;1971;6408;2384;310;154,8322581;31,77741935;22,20322581;5,787096774;7,690322581;77,91290323;16,69677419;7,906451613;6,358064516;7,690322581;1,378253634;1,108338601
48009;24159;9891;5196;7025;2485;1815;1993;6361;2385;311;154,3697749;31,80385852;22,58842444;5,836012862;7,668810289;77,68167203;16,7073955;7,990353698;6,408360129;7,668810289;1,392097907;1,116479327
48460;24385;9926;5216;7018;2565;1822;2003;6340;2437;312;155,3205128;31,81410256;22,49358974;5,83974359;7,810897436;78,15705128;16,71794872;8,221153846;6,419871795;7,810897436;1,431507798;1,117859696
49099;24705;9965;5236;7083;2565;1849;2011;6365;2428;313;156,8658147;31,8370607;22,62939297;5,907348243;7,757188498;78,92971246;16,7284345;8,194888179;6,424920128;7,757188498;1,426139645;1,118115722
49244;24778;9999;5256;7032;2548;1858;2041;6428;2405;314;156,8280255;31,84394904;22,39490446;5,917197452;7,659235669;78,91082803;16,7388535;8,114649682;6,5;7,659235669;1,41139242;1,130554133
49477;24895;10038;5276;7113;2534;1860;2031;6605;2542;315;157,0698413;31,86666667;22,58095238;5,904761905;8,06984127;79,03174603;16,74920635;8,044444444;6,447619048;8,06984127;1,398408147;1,120823578
50006;25160;10077;5296;7113;2582;1820;2017;6513;2465;316;158,2468354;31,88924051;22,50949367;5,759493671;7,800632911;79,62025316;16,75949367;8,170886076;6,382911392;7,800632911;1,419605982;1,108964084
50113;25214;10116;5316;7173;2572;1821;1999;6534;2449;317;158,0851735;31,91167192;22,62776025;5,744479495;7,72555205;79,53943218;16,76971609;8,113564669;6,305993691;7,72555205;1,408873599;1,094999349
50451;25384;10151;5336;7108;2519;1909;2045;6552;2473;318;158,6509434;31,92138365;22,35220126;6,003144654;7,77672956;79,82389937;16,77987421;7,921383648;6,43081761;7,77672956;1,374750609;1,116063912
51246;25782;10191;5356;7267;2625;1862;2048;6568;2502;319;160,645768;31,94670846;22,78056426;5,836990596;7,843260188;80,82131661;16,78996865;8,228840125;6,420062696;7,843260188;1,427331719;1,113590613
51128;25723;10228;5376;7212;2565;1889;2078;6577;2472;320;159,775;31,9625;22,5375;5,903125;7,725;80,384375;16,8;8,015625;6,49375;7,725;1,389594131;1,125760859
51414;25867;10268;5396;7256;2529;1887;2085;6625;2501;321;160,1682243;31,98753894;22,60436137;5,878504673;7,791277259;80,58255452;16,80996885;7,878504673;6,495327103;7,791277259;1,365084475;1,125425516
51934;26127;10309;5416;7428;2703;1879;2109;6714;2535;322;161,2857143;32,01552795;23,06832298;5,835403727;7,872670807;81,13975155;16,81987578;8,394409938;6,549689441;7,872670807;1,453690364;1,134233436
51923;26122;10347;5436;7338;2601;1923;2090;6724;2576;323;160,752322;32,03405573;22,71826625;5,953560372;7,975232198;80,87306502;16,82972136;8,052631579;6,470588235;7,975232198;1,393754959;1,11993382
52541;26432;10384;5456;7318;2574;1871;2116;6757;2530;324;162,1635802;32,04938272;22,58641975;5,774691358;7,808641975;81,58024691;16,83950617;7,944444444;6,530864198;7,808641975;1,374294573;1,129761973
52842;26583;10422;5476;7461;2679;1886;2099;6727;2550;325;162,5907692;32,06769231;22,95692308;5,803076923;7,846153846;81,79384615;16,84923077;8,243076923;6,458461538;7,846153846;1,425194687;1,1166419
53100;26712;10457;5496;7420;2732;1917;2107;6714;2531;326;162,8834356;32,07668712;22,7607362;5,880368098;7,763803681;81,93865031;16,85889571;8,380368098;6,463190184;7,763803681;1,448162555;1,116866217
53093;26709;10500;5516;7456;2675;1921;2126;6781;2563;327;162,3639144;32,11009174;22,80122324;5,874617737;7,837920489;81,67889908;16,86850153;8,180428135;6,501529052;7,837920489;1,412864319;1,122897025
53817;27072;10535;5536;7420;2641;1941;2164;6829;2610;328;164,0762195;32,11890244;22,62195122;5,917682927;7,957317073;82,53658537;16,87804878;8,051829268;6,597560976;7,957317073;1,389920655;1,138882354
54005;27166;10574;5556;7416;2680;1963;2142;6861;2578;329;164,1489362;32,13981763;22,54103343;5,96656535;7,835866261;82,57142857;16,88753799;8,145896657;6,510638298;7,835866261;1,405420202;1,123287341
54412;27370;10612;5576;7540;2744;1938;2148;6857;2626;330;164,8848485;32,15757576;22,84848485;5,872727273;7,957575758;82,93939394;16,8969697;8,315151515;6,509090909;7,957575758;1,433871126;1,122432645
54801;27565;10648;5596;7457;2655;1982;2180;6922;2613;331;165,5619335;32,16918429;22,52870091;5,987915408;7,894259819;83,27794562;16,90634441;8,021148036;6,586102719;7,894259819;1,382451635;1,135120363
55001;27666;10688;5616;7633;2769;2004;2170;6870;2611;332;165,6656627;32,19277108;22,99096386;6,036144578;7,864457831;83,3313253;16,91566265;8,340361446;6,536144578;7,864457831;1,436721367;1,125924653
55700;28016;10724;5636;7613;2694;1968;2148;7033;2717;333;167,2672673;32,2042042;22,86186186;5,90990991;8,159159159;84,13213213;16,92492492;8,09009009;6,45045045;8,159159159;1,392887675;1,1105875
56015;28174;10764;5656;7560;2709;2012;2178;6937;2604;334;167,7095808;32,22754491;22,63473054;6,023952096;7,796407186;84,35329341;16,93413174;8,110778443;6,520958084;7,796407186;1,395729075;1,122147628
56256;28295;10803;5676;7611;2736;2035;2178;6988;2616;335;167,9283582;32,24776119;22,71940299;6,074626866;7,808955224;84,46268657;16,94328358;8,167164179;6,501492537;7,808955224;1,404709463;1,118222665
56456;28395;10841;5696;7649;2747;1972;2179;7043;2657;336;168,0238095;32,26488095;22,76488095;5,869047619;7,907738095;84,50892857;16,95238095;8,175595238;6,485119048;7,907738095;1,40543906;1,114834988
56800;28568;10879;5716;7679;2758;2003;2203;7004;2637;337;168,5459941;32,28189911;22,78635015;5,943620178;7,824925816;84,77151335;16,96142433;8,183976261;6,537091988;7,824925816;1,406161451;1,123195677
57439;28888;10915;5736;7758;2774;1999;2213;7018;2636;338;169,9378698;32,29289941;22,95266272;5,914201183;7,798816568;85,46745562;16,9704142;8,207100592;6,547337278;7,798816568;1,409417123;1,124383595
57930;29134;10958;5756;7781;2796;2012;2197;7046;2625;339;170,8849558;32,32448378;22,95280236;5,935103245;7,743362832;85,94100295;16,97935103;8,247787611;6,480825959;7,743362832;1,415686141;1,112397157
57993;29166;10993;5776;7761;2755;2071;2258;7061;2637;340;170,5676471;32,33235294;22,82647059;6,091176471;7,755882353;85,78235294;16,98823529;8,102941176;6,641176471;7,755882353;1,390121251;1,139344387
58332;29336;11031;5796;7753;2773;1986;2218;7125;2679;341;171,0615836;32,34897361;22,73607038;5,824046921;7,856304985;86,02932551;16,99706745;8,131964809;6,504398827;7,856304985;1,394397922;1,115317199
58240;29290;11072;5816;7866;2829;2067;2247;7163;2693;342;170,2923977;32,37426901;23;6,043859649;7,874269006;85,64327485;17,00584795;8,271929825;6,570175439;7,874269006;1,417686057;1,126030601
59028;29685;11109;5836;7843;2815;2058;2260;7148;2681;343;172,0932945;32,3877551;22,86588921;6;7,816326531;86,5451895;17,01457726;8,206997085;6,588921283;7,816326531;1,405854066;1,128678575
59144;29743;11145;5856;7926;2872;2086;2282;7213;2739;344;171,9302326;32,39825581;23,04069767;6,063953488;7,962209302;86,4622093;17,02325581;8,348837209;6,63372093;7,962209302;1,429438356;1,135786326
59696;30020;11182;5876;7923;2853;2046;2255;7239;2715;345;173,0318841;32,4115942;22,96521739;5,930434783;7,869565217;87,01449275;17,03188406;8,269565217;6,536231884;7,869565217;1,41516255;1,118538924
60050;30197;11226;5896;7942;2857;2058;2257;7243;2718;346;173,5549133;32,44508671;22,95375723;5,947976879;7,855491329;87,27456647;17,04046243;8,257225434;6,523121387;7,855491329;1,412351305;1,115742701
60146;30246;11258;5916;8021;2922;2093;2274;7245;2757;347;173,3314121;32,44380403;23,11527378;6,031700288;7,945244957;87,16426513;17,04899135;8,42074928;6,553314121;7,945244957;1,439610484;1,12035395
60367;30357;11301;5936;8081;2877;2060;2263;7296;2752;348;173,4683908;32,47413793;23,22126437;5,91954023;7,908045977;87,23275862;17,05747126;8,267241379;6,502873563;7,908045977;1,412671795;1,111183966
61059;30703;11340;5956;8042;2881;2124;2310;7359;2785;349;174,9541547;32,49283668;23,04297994;6,085959885;7,979942693;87,97421203;17,06590258;8,255014327;6,618911175;7,979942693;1,409891191;1,130457706
61382;30865;11377;5976;8147;2942;2115;2287;7324;2800;350;175,3771429;32,50571429;23,27714286;6,042857143;8;88,18571429;17,07428571;8,405714286;6,534285714;8;1,434928338;1,115459249
61555;30952;11415;5996;8147;2928;2051;2284;7344;2715;351;175,3703704;32,52136752;23,21082621;5,843304843;7,735042735;88,18233618;17,08262108;8,341880342;6,507122507;7,735042735;1,423338102;1,110281498
61664;31007;11450;6016;8156;2923;2144;2306;7498;2879;352;175,1818182;32,52840909;23,17045455;6,090909091;8,178977273;88,08806818;17,09090909;8,303977273;6,551136364;8,178977273;1,416183424;1,117249051
62750;31551;11491;6036;8173;2929;2160;2332;7447;2871;353;177,7620397;32,55240793;23,1529745;6,11898017;8,133144476;89,3796034;17,09915014;8,297450425;6,606232295;8,133144476;1,414386023;1,126100446
62730;31541;11528;6056;8240;2973;2105;2314;7530;2843;354;177,2033898;32,56497175;23,27683616;5,946327684;8,031073446;89,09887006;17,10734463;8,398305085;6,536723164;8,031073446;1,430887755;1,113714856
63161;31757;11568;6076;8206;2941;2126;2330;7444;2768;355;177,9183099;32,58591549;23,11549296;5,988732394;7,797183099;89,45633803;17,11549296;8,284507042;6,563380282;7,797183099;1,410820992;1,117719453
63485;31920;11609;6096;8212;2943;2143;2363;7544;2891;356;178,3286517;32,60955056;23,06741573;6,019662921;8,120786517;89,66292135;17,12359551;8,266853933;6,637640449;8,120786517;1,407140665;1,129824462
63617;31986;11640;6116;8205;2916;2175;2400;7511;2831;357;178,1988796;32,60504202;22,98319328;6,092436975;7,929971989;89,59663866;17,13165266;8,168067227;6,722689076;7,929971989;1,389662198;1,143754896
64214;32285;11680;6136;8366;2974;2108;2345;7550;2862;358;179,3687151;32,62569832;23,36871508;5,888268156;7,994413408;90,18156425;17,1396648;8,30726257;6,55027933;7,994413408;1,412671707;1,113892116
64490;32424;11720;6156;8448;3039;2166;2403;7642;2914;359;179,637883;32,64623955;23,53203343;6,033426184;8,116991643;90,31754875;17,14763231;8,465181058;6,693593315;8,116991643;1,43884365;1,13772336
64781;32570;11761;6176;8350;3032;2143;2370;7645;2895;360;179,9472222;32,66944444;23,19444444;5,952777778;8,041666667;90,47222222;17,15555556;8,422222222;6,583333333;8,041666667;1,430865336;1,118453445
65343;32851;11797;6196;8325;2975;2199;2387;7665;2890;361;181,0055402;32,67867036;23,06094183;6,091412742;8,005540166;91;17,1634349;8,24099723;6,612188366;8,005540166;1,399417221;1,122826524
65339;32850;11836;6216;8436;2993;2161;2407;7607;2884;362;180,4944751;32,6961326;23,3038674;5,96961326;7,966850829;90,74585635;17,17127072;8,267955801;6,649171271;7,966850829;1,403335895;1,128576511
65876;33119;11874;6236;8539;3078;2185;2388;7578;2909;363;181,476584;32,7107438;23,52341598;6,019283747;8,013774105;91,2369146;17,17906336;8,479338843;6,578512397;8,013774105;1,438540779;1,116060877
66187;33275;11910;6256;8482;3030;2158;2387;7685;2908;364;181,8324176;32,71978022;23,3021978;5,928571429;7,989010989;91,41483516;17,18681319;8,324175824;6,557692308;7,989010989;1,411558187;1,112009701
66722;33543;11953;6276;8436;3049;2199;2416;7658;2888;365;182,8;32,74794521;23,11232877;6,024657534;7,912328767;91,89863014;17,19452055;8,353424658;6,619178082;7,912328767;1,41585932;1,121914109
67079;33722;11989;6296;8478;3066;2219;2441;7756;2914;366;183,2759563;32,7568306;23,16393443;6,06284153;7,961748634;92,13661202;17,20218579;8,37704918;6,669398907;7,961748634;1,419205413;1,129902288
67083;33724;12028;6316;8569;3136;2245;2469;7900;3040;367;182,7874659;32,77384196;23,34877384;6,117166213;8,283378747;91,89100817;17,20980926;8,544959128;6,727520436;8,283378747;1,446983157;1,13922239
67918;34142;12066;6336;8553;3068;2246;2424;7704;2903;368;184,5597826;32,78804348;23,24184783;6,10326087;7,888586957;92,77717391;17,2173913;8,336956522;6,586956522;7,888586957;1,411110272;1,114905899
68117;34242;12102;6356;8582;3067;2227;2440;7924;3026;369;184,598916;32,79674797;23,25745257;6,035230352;8,200542005;92,79674797;17,22493225;8,311653117;6,612466125;8,200542005;1,406181538;1,118709799
68346;34357;12142;6376;8786;3089;2194;2439;7838;2960;370;184,7189189;32,81621622;23,74594595;5,92972973;8;92,85675676;17,23243243;8,348648649;6,591891892;8;1,411794099;1,114718617
69034;34702;12177;6396;8666;3087;2239;2472;8036;3090;371;186,0754717;32,82210243;23,35849057;6,035040431;8,32884097;93,53638814;17,23989218;8,320754717;6,663072776;8,32884097;1,406435181;1,126241583
69261;34816;12218;6416;8663;3146;2267;2472;7978;3005;372;186,1854839;32,84408602;23,28763441;6,094086022;8,077956989;93,59139785;17,24731183;8,456989247;6,64516129;8,077956989;1,428812453;1,122703237
69488;34930;12255;6436;8712;3096;2257;2468;8013;3049;373;186,2949062;32,85522788;23,35656836;6,050938338;8,174262735;93,6461126;17,25469169;8,300268097;6,616621984;8,174262735;1,401698586;1,117374712
69965;35169;12296;6456;8822;3182;2250;2463;7947;3014;374;187,0721925;32,87700535;23,58823529;6,016042781;8,058823529;94,03475936;17,26203209;8,50802139;6,585561497;8,058823529;1,436133361;1,111626797
70608;35491;12336;6476;8713;3141;2314;2523;8027;3070;375;188,288;32,896;23,23466667;6,170666667;8,186666667;94,64266667;17,26933333;8,376;6,728;8,186666667;1,413211497;1,135158423
71014;35694;12369;6496;8877;3215;2299;2529;8013;2984;376;188,8670213;32,8962766;23,60904255;6,114361702;7,936170213;94,93085106;17,27659574;8,550531915;6,72606383;7,936170213;1,442010856;1,13432207
70997;35686;12410;6516;8868;3191;2264;2503;8073;3094;377;188,3209549;32,91777188;23,52254642;6,00530504;8,206896552;94,65782493;17,28381963;8,464190981;6,639257294;8,206896552;1,426810712;1,119181201
71357;35867;12451;6536;8873;3174;2300;2514;8110;3059;378;188,7751323;32,93915344;23,47354497;6,084656085;8,092592593;94,88624339;17,29100529;8,396825397;6,650793651;8,092592593;1,414823099;1,120625479
71747;36062;12484;6556;8702;3082;2374;2553;8080;3049;379;189,3060686;32,93931398;22,96042216;6,263852243;8,044854881;95,15039578;17,29815303;8,131926121;6,736147757;8,044854881;1,369579206;1,134502178
71846;36112;12528;6576;8927;3223;2284;2508;8155;3102;380;189,0684211;32,96842105;23,49210526;6,010526316;8,163157895;95,03157895;17,30526316;8,481578947;6,6;8,163157895;1,427834079;1,111079078
72384;36382;12559;6596;8856;3154;2316;2527;8183;3101;381;189,984252;32,96325459;23,24409449;6,078740157;8,139107612;95,49081365;17,31233596;8,278215223;6,632545932;8,139107612;1,392982448;1,116064251
73002;36691;12601;6616;9076;3248;2331;2535;8297;3164;382;191,104712;32,98691099;23,7591623;6,102094241;8,282722513;96,04973822;17,31937173;8,502617801;6,636125654;8,282722513;1,430112075;1,116174295
73387;36884;12640;6636;8951;3229;2283;2508;8243;3122;383;191,6109661;33,00261097;23,37075718;5,960835509;8,151436031;96,30287206;17,32637076;8,430809399;6,548302872;8,151436031;1,417410862;1,100918687
73693;37038;12680;6656;8979;3214;2288;2569;8239;3083;384;191,9088542;33,02083333;23,3828125;5,958333333;8,028645833;96,453125;17,33333333;8,369791667;6,690104167;8,028645833;1,40653578;1,124265843
74363;37373;12720;6676;8988;3194;2380;2584;8296;3137;385;193,1506494;33,03896104;23,34545455;6,181818182;8,148051948;97,07272727;17,34025974;8,296103896;6,711688312;8,148051948;1,393543558;1,127400298
74797;37591;12755;6696;9130;3281;2401;2598;8283;3121;386;193,7746114;33,04404145;23,65284974;6,220207254;8,085492228;97,38601036;17,34715026;8,5;6,730569948;8,085492228;1,427171273;1,130079539
74622;37504;12795;6716;9066;3217;2358;2615;8330;3179;387;192,8217054;33,0620155;23,42635659;6,093023256;8,214470284;96,90956072;17,35400517;8,312661499;6,757105943;8,214470284;1,395110608;1,13404235
75591;37989;12833;6736;9033;3194;2394;2613;8375;3173;388;194,8221649;33,07474227;23,28092784;6,170103093;8,177835052;97,90979381;17,36082474;8,231958763;6,734536082;8,177835052;1,380968191;1,129765148
75758;38073;12872;6756;9218;3342;2362;2577;8488;3233;389;194,7506427;33,08997429;23,6966581;6,071979434;8,311053985;97,87403599;17,36760925;8,59125964;6,624678663;8,311053985;1,440621336;1,110856129
76529;38459;12906;6776;9144;3281;2424;2631;8422;3210;390;196,2282051;33,09230769;23,44615385;6,215384615;8,230769231;98,61282051;17,37435897;8,412820513;6,746153846;8,230769231;1,410092792;1,130738841
77070;38730;12954;6796;9228;3330;2405;2641;8512;3266;391;197,1099744;33,13043478;23,60102302;6,150895141;8,352941176;99,05370844;17,38107417;8,516624041;6,754475703;8,352941176;1,426879095;1,131647955
76899;38645;12993;6816;9248;3294;2432;2628;8532;3230;392;196,1709184;33,14540816;23,59183673;6,204081633;8,239795918;98,58418367;17,3877551;8,403061224;6,704081633;8,239795918;1,407250502;1,122724445
76989;38690;13027;6836;9200;3326;2469;2640;8466;3198;393;195,9007634;33,1475827;23,40966921;6,282442748;8,13740458;98,44783715;17,39440204;8,463104326;6,717557252;8,13740458;1,416701381;1,124501397
77627;39010;13064;6856;9331;3343;2380;2618;8619;3291;394;197,0228426;33,15736041;23,68274112;6,040609137;8,352791878;99,01015228;17,40101523;8,484771574;6,644670051;8,352791878;1,419724461;1,111827293
78150;39272;13105;6876;9364;3339;2422;2667;8687;3281;395;197,8481013;33,17721519;23,70632911;6,13164557;8,306329114;99,42278481;17,40759494;8,453164557;6,751898734;8,306329114;1,413836104;1,129290473
78558;39476;13141;6896;9447;3356;2449;2712;8582;3269;396;198,3787879;33,18434343;23,85606061;6,184343434;8,255050505;99,68686869;17,41414141;8,474747475;6,848484848;8,255050505;1,416846782;1,144960808
78520;39458;13179;6916;9324;3399;2428;2655;8651;3291;397;197,7833753;33,19647355;23,4861461;6,115869018;8,289672544;99,39042821;17,42065491;8,561712846;6,687657431;8,289672544;1,430782756;1,117601712
78985;39691;13225;6936;9496;3405;2465;2658;8765;3333;398;198,4547739;33,22864322;23,85929648;6,193467337;8,374371859;99,72613065;17,42713568;8,555276382;6,67839196;8,374371859;1,429106318;1,115584315
79890;40144;13262;6956;9456;3393;2437;2669;8732;3335;399;200,2255639;33,23809524;23,69924812;6,107769424;8,35839599;100,6115288;17,43358396;8,503759398;6,689223058;8,35839599;1,419905524;1,116925389
79811;40105;13297;6976;9492;3365;2441;2672;8636;3257;400;199,5275;33,2425;23,73;6,1025;8,1425;100,2625;17,44;8,4125;6,68;8,1425;1,404080744;1,11491939
80285;40342;13335;6996;9522;3430;2462;2725;8732;3326;401;200,2119701;33,25436409;23,74563591;6,139650873;8,294264339;100,6034913;17,44638404;8,55361596;6,795511222;8,294264339;1,427038873;1,133726218
80659;40530;13373;7016;9578;3488;2479;2675;8733;3297;402;200,6442786;33,26616915;23,82587065;6,166666667;8,201492537;100,8208955;17,45273632;8,676616915;6,654228856;8,201492537;1,446958433;1,109694325
81727;41064;13414;7036;9676;3513;2556;2795;8774;3292;403;202,7965261;33,2853598;24,00992556;6,342431762;8,168734491;101,8957816;17,45905707;8,717121588;6,935483871;8,168734491;1,453111147;1,156118889
81989;41196;13451;7056;9597;3425;2488;2697;8712;3284;404;202,9430693;33,29455446;23,7549505;6,158415842;8,128712871;101,970297;17,46534653;8,477722772;6,675742574;8,128712871;1,412620681;1,112361453
