insertion (cmp);insertion (swp);merge (cmp);merge (swp);quick (cmp);quick (swp);dual pivot (cmp);dual pivot (swp);hybrid (cmp);hybrid (swp);n;insertion (cmp/n);merge (cmp/n);quick (cmp/n);dual pivot (cmp/n);hybrid (cmp/n);insertion (swp/n);merge (swp/n);quick (swp/n);dual pivot (swp/n);hybrid (swp/n);wpolczynnik QS;wspolczynnik DP QS
6413;3262;2926;1552;2011;706;509;595;1769;667;113;56,75221239;25,89380531;17,79646018;4,504424779;5,902654867;28,86725664;13,73451327;6,247787611;5,265486726;5,902654867;1,321615203;1,113825844
6547;3330;2956;1568;2042;714;509;601;1754;671;114;57,42982456;25,92982456;17,9122807;4,464912281;5,885964912;29,21052632;13,75438596;6,263157895;5,271929825;5,885964912;1,322401914;1,113114216
6710;3412;2988;1584;2039;707;533;609;1805;670;115;58,34782609;25,9826087;17,73043478;4,634782609;5,826086957;29,66956522;13,77391304;6,147826087;5,295652174;5,826086957;1,295661544;1,116064894
6712;3413;3021;1600;2039;703;524;619;1814;692;116;57,86206897;26,04310345;17,57758621;4,517241379;5,965517241;29,42241379;13,79310345;6,060344828;5,336206897;5,965517241;1,274898463;1,122563511
6857;3486;3050;1616;2070;727;540;628;1814;687;117;58,60683761;26,06837607;17,69230769;4,615384615;5,871794872;29,79487179;13,81196581;6,213675214;5,367521368;5,871794872;1,304798039;1,127115775
7045;3581;3081;1632;2065;728;548;629;1862;703;118;59,70338983;26,11016949;17,5;4,644067797;5,957627119;30,34745763;13,83050847;6,169491525;5,330508475;5,957627119;1,293208839;1,117346648
7129;3623;3114;1648;2157;742;539;629;1858;699;119;59,90756303;26,16806723;18,12605042;4,529411765;5,87394958;30,44537815;13,8487395;6,235294118;5,285714286;5,87394958;1,304694078;1,106000775
7205;3662;3143;1664;2172;757;562;645;1889;715;120;60,04166667;26,19166667;18,1;4,683333333;5,958333333;30,51666667;13,86666667;6,308333333;5,375;5,958333333;1,31766981;1,122717341
7316;3718;3172;1680;2177;748;558;657;1897;715;121;60,46280992;26,21487603;17,99173554;4,611570248;5,909090909;30,72727273;13,88429752;6,181818182;5,429752066;5,909090909;1,28900921;1,132191244
7505;3813;3204;1696;2192;765;557;645;1931;731;122;61,51639344;26,26229508;17,96721311;4,56557377;5,991803279;31,25409836;13,90163934;6,270491803;5,286885246;5,991803279;1,30525902;1,100512507
7544;3833;3235;1712;2210;756;586;669;1956;727;123;61,33333333;26,30081301;17,96747967;4,764227642;5,910569106;31,16260163;13,91869919;6,146341463;5,43902439;5,910569106;1,277245635;1,130261018
7673;3898;3267;1728;2210;772;581;671;1960;722;124;61,87903226;26,34677419;17,82258065;4,685483871;5,822580645;31,43548387;13,93548387;6,225806452;5,411290323;5,822580645;1,29158564;1,122608762
7757;3940;3299;1744;2277;797;579;675;2005;759;125;62,056;26,392;18,216;4,632;6,072;31,52;13,952;6,376;5,4;6,072;1,320543848;1,118402882
7883;4004;3330;1760;2269;803;588;681;2031;757;126;62,56349206;26,42857143;18,00793651;4,666666667;6,007936508;31,77777778;13,96825397;6,373015873;5,404761905;6,007936508;1,317751115;1,117544843
8135;4130;3361;1776;2351;822;602;689;2029;771;127;64,05511811;26,46456693;18,51181102;4,74015748;6,070866142;32,51968504;13,98425197;6,472440945;5,42519685;6,070866142;1,336125304;1,11993958
8248;4187;3390;1792;2294;812;606;691;2058;783;128;64,4375;26,484375;17,921875;4,734375;6,1171875;32,7109375;14;6,34375;5,3984375;6,1171875;1,307442381;1,112614144
8343;4235;3425;1810;2384;844;606;694;2079;780;129;64,6744186;26,5503876;18,48062016;4,697674419;6,046511628;32,82945736;14,03100775;6,542635659;5,379844961;6,046511628;1,346273295;1,107006714
8443;4286;3458;1828;2387;834;614;704;2111;796;130;64,94615385;26,6;18,36153846;4,723076923;6,123076923;32,96923077;14,06153846;6,415384615;5,415384615;6,123076923;1,317994702;1,112551882
8581;4355;3495;1846;2405;827;626;704;2199;814;131;65,50381679;26,67938931;18,35877863;4,778625954;6,213740458;33,24427481;14,09160305;6,312977099;5,374045802;6,213740458;1,294917248;1,102323751
8763;4447;3526;1864;2384;818;651;728;2129;806;132;66,38636364;26,71212121;18,06060606;4,931818182;6,106060606;33,68939394;14,12121212;6,196969697;5,515151515;6,106060606;1,269142143;1,129505477
8850;4491;3560;1882;2452;871;633;733;2190;825;133;66,54135338;26,76691729;18,43609023;4,759398496;6,203007519;33,76691729;14,15037594;6,54887218;5,511278195;6,203007519;1,339142055;1,126970294
9021;4577;3593;1900;2456;855;630;733;2225;830;134;67,32089552;26,81343284;18,32835821;4,701492537;6,194029851;34,15671642;14,17910448;6,380597015;5,470149254;6,194029851;1,302736977;1,116849362
9079;4606;3628;1918;2474;876;629;741;2240;860;135;67,25185185;26,87407407;18,32592593;4,659259259;6,37037037;34,11851852;14,20740741;6,488888889;5,488888889;6,37037037;1,322839022;1,118976844
9283;4709;3662;1936;2502;873;646;740;2239;835;136;68,25735294;26,92647059;18,39705882;4,75;6,139705882;34,625;14,23529412;6,419117647;5,441176471;6,139705882;1,306649418;1,107583699
9415;4775;3698;1954;2541;898;672;768;2268;872;137;68,72262774;26,99270073;18,54744526;4,905109489;6,364963504;34,8540146;14,26277372;6,554744526;5,605839416;6,364963504;1,332270313;1,139402673
