VERTEXES;EDGES;MAX_WEIGHT;
16384;65024;16384;

SOURCE;DIJKSTRA;DIALS;RADIX;
14865;29861;5652272;117222;
2081;46478;4695058;115847;
14601;41161;4667206;119595;
1734;43026;4560930;136862;
8035;59275;4623005;116300;
11815;37725;4539099;109886;
135;44898;4567617;114284;
750;44961;4530754;108229;
14901;39703;4602146;118113;
5891;47025;4622759;133674;
9859;36371;4430184;156146;
2722;67719;4547870;115058;
14587;42760;4514578;126591;
13337;37713;4591916;106926;
10169;38850;4555931;109923;
172;47392;4501949;106802;
12985;42417;4557314;112721;
668;35966;4483700;118404;
14503;39868;4544669;107703;
14233;45725;4589185;108753;
2105;38678;4474090;118228;
8454;46736;5313317;150448;
11583;54012;5069553;106933;
1460;41926;4805598;120563;
2665;43800;4537038;132335;
9041;43606;4483939;120504;
5840;50950;5049725;143503;
4241;50318;4606284;108606;
11349;50822;4595430;104821;
7659;48283;4611235;112697;
2102;52228;4503373;114074;
12632;43584;4535645;120476;
15004;42838;4583243;106017;
16384;43174;4605122;115107;
573;41319;4536909;105745;
9213;45381;4676567;118636;
9196;44547;4583550;104576;
9922;39841;4500973;117476;
13813;40258;4615419;112042;
12381;48645;4505617;122933;
14266;47506;4491136;126893;
12475;47648;4439166;100536;
2106;47297;4587754;122557;
11599;43028;4471788;115375;
2998;38295;4510164;114674;
2795;42223;4638317;112467;
12630;39976;4588147;98912;
8206;46420;4579236;106757;
12433;42665;4649649;115272;
16109;38773;4591284;107717;
3848;40906;4603174;107787;
4265;38034;4621259;118524;
8111;47115;4597130;119677;
1251;38276;4475510;131000;
10446;76493;4538560;122180;
3428;47170;4640998;123792;
8795;44030;4510928;115308;
13527;53171;4792333;117985;
14823;39641;4704365;107959;
16315;45715;4649731;114479;
11756;44665;5495026;155070;
1734;67866;5788284;118726;
13916;45051;4800172;124984;
5883;41909;4783274;118276;
11877;40841;4653271;116566;
14353;44481;4599212;115155;
3649;46264;4735359;115987;
7418;44369;4553513;115971;
14912;43993;4572992;151557;
4104;77167;4791566;113569;
4821;43613;4650020;113616;
5128;43844;4747188;107332;
8004;39403;4710229;123271;
7826;39066;5258841;128544;
5013;40355;4730429;127044;
12996;39032;4749470;121181;
5132;42235;4606953;118587;
8573;40902;4701331;118146;
13988;48995;4648982;147010;
6067;67531;4668736;119168;
7863;47121;4608721;111697;
11155;46187;4738288;121656;
6445;41478;4571227;107478;
3639;47832;4699109;112139;
4974;38563;4685687;114061;
12214;40837;4658195;117083;
5287;44641;4637539;117192;
14229;39544;4825180;110104;
589;42160;4723659;108624;
2418;43297;4669966;111291;
8295;39381;4731014;102148;
499;42809;4800159;111053;
6486;41988;4611383;100109;
2172;41992;4780559;112654;
6238;41223;4671757;114696;
9578;40470;4729740;114836;
3055;41019;4683157;119508;
10114;42454;4572734;132978;
8124;48850;4508808;116810;
812;53933;4494546;115107;
1496;38898;4713675;111260;
16127;44812;4590794;129778;
