1.000000;
0.750000;
0.777778;
0.687500;
0.760000;
0.638889;
0.714286;
0.671875;
0.679012;
0.630000;
0.685950;
0.631944;
0.680473;
0.647959;
0.635556;
0.621094;
0.660900;
0.626543;
0.662050;
0.637500;
0.632653;
0.617769;
0.648393;
0.623264;
0.638400;
0.625740;
0.629630;
0.616071;
0.640904;
0.616667;
0.639958;
0.631836;
0.630854;
0.621972;
0.626122;
0.610340;
0.630387;
0.622576;
0.622617;
0.611875;
0.629982;
0.613946;
0.631152;
0.623450;
0.619753;
0.613894;
0.629697;
0.617622;
0.627655;
0.618800;
0.619377;
0.613536;
0.627625;
0.616941;
0.621157;
0.614477;
0.615266;
0.610880;
0.623671;
0.611944;
0.624295;
0.619927;
0.618544;
0.614990;
0.618935;
0.609504;
0.620851;
0.616566;
0.617307;
0.609592;
0.620313;
0.612461;
0.622819;
0.619248;
0.617067;
0.613400;
0.617811;
0.609961;
0.619612;
0.614219;
0.615607;
0.612582;
0.621716;
0.613804;
0.617163;
0.614251;
0.615009;
0.611441;
0.619997;
0.612222;
0.616230;
0.613303;
0.614059;
0.611476;
0.614626;
0.608832;
0.616750;
0.612974;
0.612897;
0.608700;
0.616312;
0.610438;
0.617872;
0.614922;
0.611973;
0.609737;
0.616910;
0.611711;
0.618719;
0.614132;
0.614804;
0.611527;
0.618294;
0.613035;
0.615728;
0.613481;
0.613558;
0.611534;
0.614858;
0.609097;
0.614097;
0.612134;
0.612797;
0.610757;
0.613824;
0.608655;
0.614731;
0.612976;
0.613605;
0.609882;
0.615757;
0.611054;
0.614110;
0.612330;
0.611193;
0.609159;
0.614790;
0.610534;
0.616065;
0.612194;
0.612796;
0.611139;
0.614358;
0.610484;
0.612747;
0.611137;
0.610625;
0.608976;
0.614162;
0.609556;
0.614666;
0.612838;
0.613055;
0.610179;
0.612320;
0.608440;
0.613372;
0.611881;
0.612436;
0.609805;
0.612438;
0.609015;
0.613760;
0.612247;
0.610725;
0.609341;
0.613970;
0.610084;
0.613809;
0.611038;
0.611299;
0.609890;
0.614354;
0.611012;
0.611886;
0.610118;
0.610648;
0.609361;
0.613682;
0.609846;
0.614114;
0.611732;
0.612231;
0.610793;
0.612622;
0.609521;
0.612171;
0.610882;
0.610481;
0.608061;
0.612127;
0.609239;
0.613251;
0.612047;
0.610835;
0.608991;
0.612925;
0.609810;
0.613697;
0.611575;
0.612039;
0.610896;
0.613046;
0.610126;
0.611802;
0.610684;
0.610959;
0.609537;
0.611959;
0.608322;
0.612003;
