VERTEXES;EDGES;MAX_WEIGHT;
65536;262144;65536;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;
59458;8324;172987;60364;259452;
58404;6935;52648;31624;120529;
32139;47258;18259;24571;59735;
539;3000;237275;67434;621065;
59603;23561;39645;57666;113389;
39436;10887;194727;47967;172199;
58348;53348;191489;62794;333120;
40673;685;164584;62280;314439;
51938;2670;49651;32745;90879;
58009;56930;28766;24359;47509;
8420;33813;131583;56793;250935;
46332;5838;93546;42113;184177;
10657;36162;97628;46115;188234;
23359;16962;178165;60330;339358;
45393;30633;13607;13201;27929;
8406;50528;126959;51010;236975;
60014;65535;158330;59473;292399;
2290;36851;32294;24621;57563;
36782;39685;134176;51355;240988;
55251;49522;50486;33808;87619;
57062;49899;42767;24512;74568;
8423;46394;12610;12394;25834;
11990;11179;69406;37483;120784;
50520;32824;25199;17411;48345;
49729;64435;162390;57640;321712;
15392;17059;40669;24782;71491;
32444;5001;163434;59965;327227;
41783;13711;149115;55683;289740;
35180;54108;83023;35642;137605;
59290;65257;169428;58069;335459;
47021;6934;49787;29168;99405;
55661;23531;35696;24885;71853;
47507;57412;9455;9937;23266;
14595;29671;79271;43125;144976;
59648;16414;69312;38937;130192;
19281;20512;117692;51939;210826;
32013;31302;161073;57191;335350;
20049;51983;15973;14645;29818;
20527;34290;123862;51081;225488;
55951;24268;23476;19364;51482;
31451;44617;150289;56289;285287;
25779;14556;106916;49349;197675;
19896;48854;139862;55146;260989;
21146;56916;142470;53793;269466;
2355;9670;89732;43601;164200;
33180;1995;66512;39056;139199;
25941;8686;105313;46021;180209;
24951;38312;143841;54816;273344;
12217;40455;126505;52502;238662;
32493;3247;128747;51626;243997;
5982;64506;133834;52522;247974;
15605;48471;18266;17607;40400;
4714;31287;152906;57276;295273;
43394;61325;101226;48582;201822;
35175;27811;41125;32675;84189;
38348;23975;47580;28664;83436;
51810;37498;102089;46416;190597;
1951;15692;80330;42313;153666;
58468;60715;103002;49990;190507;
33838;43422;124106;68403;238169;
26092;41391;117026;62674;221598;
51972;42961;14184;15850;27773;
1784;20679;134009;54901;238621;
11192;15440;139202;50640;243589;
50582;39565;10623;11566;22328;
26787;13166;90508;44213;165098;
43688;2541;107305;46107;191411;
61157;51922;106921;52642;182191;
20533;48183;97323;44520;170778;
20036;20916;162042;58168;319673;
25375;50010;126148;52760;253169;
11358;62107;61436;32461;113955;
1040;30090;99645;48506;186859;
13455;4863;125152;55919;240692;
61112;50859;91689;45787;182640;
43730;18765;83989;41913;151687;
16284;1453;64717;35028;113979;
39498;43362;89156;44994;183856;
10235;15805;26015;21776;51312;
2610;47123;6499;9357;11940;
47238;20408;100112;46458;186339;
3000;28870;170197;61440;307015;
34768;5936;155377;62734;309878;
52083;31270;102616;48518;194741;
31726;34407;109781;44423;177308;
30585;37198;117165;50150;232589;
36983;14794;100578;46421;168547;
49725;51987;87640;41709;159603;
32542;11322;84373;42679;157278;
63566;6769;70382;47586;145811;
43429;48530;24314;19596;42178;
3616;28378;136938;53235;242657;
15372;25470;107895;46399;191985;
10652;9796;167601;59082;303126;
61006;5335;82411;42754;156773;
2877;49936;96253;44804;192192;
4473;45327;36855;23430;65521;
21152;11760;59824;37995;101696;
11501;27279;56865;34362;116502;
1148;62847;150211;58308;273028;
41615;9174;65164;29513;105769;
29342;14670;111355;50878;211091;
