VERTEXES;EDGES;MAX_WEIGHT;;
262144;1048576;262143;;
;;;;
SOURCE;DIJKSTRA;DIALS;RADIX;RADIX_2
237829;1251603;546451;2008450;751013
33296;957144;382237;2051712;763507
233614;973224;393017;2127034;722493
27738;966741;412417;1954054;820148
128554;971400;394137;1977067;739824
189030;1161603;412285;1958837;740460
2153;957829;413978;2040939;726864
11997;943483;378510;2066844;724453
238409;940375;395579;1924735;873450
94242;981077;425303;1965727;751114
157743;1070224;417255;1939406;721344
43546;1008117;586243;1930564;713983
233389;973871;388852;2063093;723379
213389;959468;415050;2107207;705888
162690;958892;377159;1948090;884710
2740;1001527;374677;1951811;717940
207752;1045022;440306;1911568;715093
10678;961450;403367;2304346;939789
232035;1150973;398873;2093601;740315
227719;987076;401818;2053452;769729
33680;979162;373913;1949155;829438
135252;1026845;365401;1969344;757925
185326;1140770;396951;1971770;719140
23352;942436;400717;2098263;741711
42627;995938;371417;2065814;732998
144645;964757;386236;1929091;860217
93435;963837;411563;1886595;719096
67846;1123398;400775;1934300;723087
181569;959388;459384;1988915;800098
122532;958063;404770;2141536;750374
33622;942658;398794;1965823;762921
202110;969717;427484;1913633;784710
240054;1040626;405198;2024937;742261
262138;1076812;434258;1908386;726452
9160;931513;379508;2004006;766603
147402;942079;389349;2128686;737852
147125;960465;400151;1928123;835447
158740;961517;386336;1897516;727063
221004;1034955;428048;1943685;729278
198087;972132;384804;2252234;735977
228246;949303;391106;2061588;710772
199593;959061;393118;1971200;884840
33689;1012522;374955;1970303;751832
185576;1165155;393123;1917199;748936
47960;967976;514799;1912318;719404
44714;977112;402091;2123430;736465
202079;979921;388749;2040237;729407
131295;966375;378109;2086442;879457
198915;965733;417044;1928913;730947
257738;1054149;411926;1932502;778328
61567;972695;428904;2116191;704968
68233;1091775;426745;2092478;739292
