VERTEXES;EDGES;MAX_WEIGHT;
16384;65536;16384;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;
14865;2081;38791;19389;98400;
14601;1734;14236;8703;24581;
8035;11815;42054;14194;66172;
135;750;50956;18172;89773;
14901;5891;29661;13612;52728;
9859;2722;46736;17228;115892;
14587;13337;103635;77518;134419;
10169;172;18882;10558;32539;
12985;668;48906;16046;159819;
14503;14233;6381;8785;28815;
2105;8454;105517;50988;230348;
11583;1460;113144;50050;195000;
2665;9041;27978;15862;54518;
5840;4241;4849;4322;8027;
11349;7659;49726;34600;80774;
2102;12632;44037;16558;88479;
15004;16384;11009;6690;16626;
573;9213;12411;7283;24130;
9196;9922;7121;5945;14289;
13813;12381;30202;12699;57169;
14266;12475;36096;13157;63491;
2106;11599;24225;9316;47003;
2998;2795;8027;5878;17118;
12630;8206;13352;7857;23575;
12433;16109;13881;7011;26864;
3848;4265;36462;11795;65341;
8111;1251;49356;20293;101904;
10446;3428;47745;19995;75336;
8795;13527;15509;9018;24796;
14823;16315;23039;9688;43606;
11756;1734;20303;9758;39593;
13916;5883;21100;11061;38441;
11877;14353;48632;14184;77336;
3649;7418;7868;5000;14122;
14912;4104;43324;14388;81020;
4821;5128;29427;15094;59484;
8004;7826;9391;6890;16231;
5013;12996;19979;10799;32920;
5132;8573;26448;10695;51243;
13988;6067;4700;3566;8822;
7863;11155;2315;2409;4388;
6445;3639;21959;9055;41406;
4974;12214;47702;14260;88878;
5287;14229;31403;13098;55665;
589;2418;3027;2950;7063;
8295;499;28426;12611;51773;
6486;2172;32953;16576;56002;
6238;9578;8965;7785;16987;
3055;10114;55706;20058;102197;
8124;812;46288;16915;86808;
1496;16127;44487;12699;65580;
3902;12118;3795;3017;7731;
1179;7822;18238;8291;38999;
10849;15332;37077;15758;54405;
8794;6953;9649;6522;19939;
9587;5994;47715;14664;86089;
12953;9375;38087;15714;72311;
488;3923;27386;12414;58718;
14617;15179;35766;11325;67170;
8460;10856;30203;11515;58211;
6523;10348;19520;9028;34646;
12993;10741;28079;10505;41629;
446;5170;12554;6675;27686;
2798;3860;15899;7811;26832;
12646;9892;17204;7990;34540;
6697;3292;17059;9375;34921;
10922;636;3762;4466;7325;
15290;12981;22662;10578;39989;
5134;12046;35698;13739;58459;
5009;5229;20363;8922;32303;
6344;12503;29198;11762;52519;
2840;15527;18404;9438;36864;
260;7523;30227;12572;57464;
3364;1216;23090;10509;38289;
15278;12715;26625;10729;46067;
10933;4692;10534;6212;19427;
4071;364;18431;8498;34653;
9875;10841;25973;11966;49185;
2559;3952;10677;6560;20064;
653;11781;30121;10567;60206;
11810;5102;16345;8270;34268;
750;7218;20489;9562;38957;
8692;1484;28096;15139;57836;
13021;7818;19521;10249;37139;
7932;8602;800;1853;1402;
7647;9300;35498;13531;67620;
9246;3699;30637;10685;51342;
12432;12997;31996;12452;59518;
8136;2831;41667;14655;86226;
15892;1693;16959;7883;27260;
10858;12133;42137;14275;76496;
904;7095;18077;10293;36219;
3843;6368;28758;12163;50824;
2663;2449;1403;1922;3248;
15252;1334;25549;9793;43088;
720;12484;34673;13395;75698;
1119;11332;46677;14396;89583;
5288;2940;23449;10993;36443;
2876;6820;5879;4093;11925;
287;15712;35392;12162;56762;
10404;2294;9508;5256;15978;
7336;3668;30906;10901;53673;
