VERTEXES;EDGES;MAX_WEIGHT;
16384;65024;16384;

SOURCE;DIJKSTRA;DIALS;RADIX;RADIX_2;
14865;56532;38154;152580;55371;
2081;51401;46799;145340;69240;
14601;79261;60739;135552;67025;
1734;60992;54334;189453;66011;
8035;74915;65249;193665;83646;
11815;55476;79564;203340;79150;
135;65027;72731;278736;120343;
750;71786;39697;131786;55262;
14901;43879;41758;132531;52939;
5891;60980;31243;120230;46769;
9859;40421;35423;118339;45521;
2722;39619;39953;112560;44444;
14587;42688;27643;99270;41822;
13337;37252;32112;100631;39944;
10169;35338;24384;86847;37791;
172;34623;27288;91839;38081;
12985;40301;24523;94461;39645;
668;36885;25653;81827;35226;
14503;55038;26535;81915;31065;
14233;32787;28554;88965;34102;
2105;35148;24875;83796;37071;
8454;33077;25151;86053;39428;
11583;32778;26107;88062;36827;
1460;37420;24696;92683;35486;
2665;30600;21190;84119;33704;
9041;30162;22007;78545;32551;
5840;35643;25635;93516;34167;
4241;30486;23261;78467;33648;
11349;32487;29471;79138;30936;
7659;35227;25585;86900;44332;
2102;38809;33403;108902;41135;
12632;37155;43575;82467;38885;
15004;37356;31236;95893;39759;
16384;30705;26252;83045;36149;
573;36282;22790;92364;38735;
9213;36323;21250;87909;37165;
9196;35755;25822;93462;37894;
9922;36917;24585;85799;37260;
13813;34669;22052;85264;36806;
12381;34598;26768;102987;34503;
14266;33459;22998;84606;37523;
12475;31906;22804;79570;37104;
2106;30656;21533;85789;32433;
11599;30357;22659;80237;30261;
2998;29358;19455;79782;31362;
2795;31366;17935;76072;31219;
12630;31374;21180;83775;33522;
8206;32743;23811;112933;37438;
12433;33326;23931;92067;35923;
16109;32323;23607;81558;35429;
3848;34826;23087;86939;32515;
4265;32340;26573;86804;32355;
