VERTEXES;EDGES;MAX_WEIGHT;
1048576;4194304;16384;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;RADIX_2;
951313;133183;2015232;962209;3345769;1308559;
934455;110950;4504086;1519438;6325586;2500685;
514213;756120;2291745;1015365;3137308;1273715;
8609;47985;4352486;1537886;6125011;2402938;
953635;376966;4207933;1479547;5772915;2313981;
630970;174184;878007;696559;1597998;608731;
933555;853556;4641676;1503062;6363559;2555985;
650757;10960;885829;654765;1465893;609962;
831007;42710;4598596;1574008;6455491;2553855;
928139;910876;1614541;842932;2357059;966289;
134718;541006;3767553;1375573;5300162;2052762;
741304;93407;5322338;2143332;6102952;2150963;
170508;578577;1854264;866165;2658209;1093513;
373739;271383;786063;552006;1368511;534507;
726274;490127;1145867;651627;2011251;767384;
134487;808440;4604441;1594850;6534522;2561153;
960214;1048550;215163;171118;416842;173950;
36638;589606;1951151;939525;2855996;1174537;
588500;634958;333551;255156;635751;370428;
884014;792346;234174;149169;389896;172905;
912982;798370;608382;404270;1102548;444714;
134753;742302;4397191;1532115;6574248;2456697;
191838;178856;2164835;987854;3143827;1313729;
808316;525179;4142280;1481434;5791183;2294134;
795658;1030951;4172946;1465389;5721508;2253900;
246267;272932;1562154;862356;2393965;979577;
519090;80008;406764;298613;740084;422705;
668519;219375;870288;526789;1465538;603721;
562878;865723;2588517;1068862;3788063;1489704;
948636;1044106;3996787;1446174;5667440;2218595;
752322;110933;539715;383893;1012589;403638;
890572;376485;3810021;1670445;5554478;2242750;
760109;918584;2127945;1025879;2990929;1225323;
233514;474721;4372733;1563075;6185173;2478643;
954357;262621;470869;306117;991750;365799;
308492;328179;1234993;655788;1794294;917070;
512197;500817;1366621;696755;1948367;966538;
320781;831713;1388974;733183;2008633;930653;
328420;548627;1614739;820147;2393316;1107266;
895207;388288;4474726;1637201;6284452;2458978;
503211;713860;4014261;1441210;5615792;2170071;
412461;232896;2291007;994071;3150485;1373289;
318321;781656;773092;526036;1377053;576088;
338333;910653;2784953;1369810;4155966;1713194;
37670;154705;1584911;822250;2251362;922478;
530871;31916;564029;403210;1028316;400735;
415043;138966;1708400;873412;2776510;1132573;
399201;612981;3985854;1420894;5586045;2226052;
195457;647273;1839327;894451;2585135;1068859;
519877;51945;1189599;925482;1900739;824210;
95709;1032096;1902777;932363;2743990;1142058;
249666;775531;3354006;1380883;4623608;1850176;
