VERTEXES;EDGES;MAX_WEIGHT;
1048576;4194304;1024;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;RADIX_2;
951313;133183;3240811;1129425;3484546;1548845;
934455;110950;4083328;1339385;4571585;2008116;
514213;756120;3313574;1162186;3794097;1631003;
8609;47985;3537160;1215126;3924310;1654217;
953635;376966;2181307;915992;5826809;2367223;
630970;174184;4245976;1391279;3315497;1405996;
933555;853556;4522385;1432414;4992467;2213209;
650757;10960;454176;305307;711696;425381;
831007;42710;1658522;725993;1965568;1008907;
928139;910876;482264;279833;667966;309833;
134718;541006;3457649;1204502;3816588;1615058;
741304;93407;712838;438118;1174121;463388;
170508;578577;865956;514960;1161904;525288;
373739;271383;537174;420399;757063;365868;
726274;490127;4489688;1473748;5341394;2268663;
134487;808440;2186193;1171267;2832364;1173671;
960214;1048550;4614010;1450054;4970171;2128966;
36638;589606;1993983;855428;2210765;1043214;
588500;634958;4582414;1451756;5040186;2183908;
884014;792346;74279;62296;126799;60292;
912982;798370;4363031;1371056;4827190;2101251;
134753;742302;3989688;1312898;4505016;1978693;
191838;178856;2121108;918500;2441410;1066851;
808316;525179;1101829;799488;1526801;662422;
795658;1030951;4605266;1464831;5198944;2283272;
246267;272932;193236;156226;317808;146484;
519090;80008;696607;399171;1104421;435601;
668519;219375;2393235;992611;3133654;1303983;
562878;865723;4257394;1359363;4839485;2090641;
948636;1044106;1124788;712867;1473664;689134;
752322;110933;3380967;1198776;3932015;1678123;
890572;376485;4387495;1414223;5059933;2150241;
760109;918584;2396166;919501;2666455;1218987;
233514;474721;2760403;1070047;3158759;1394102;
954357;262621;2076793;842269;2384161;1062157;
308492;328179;2045074;881956;2530925;1034540;
512197;500817;980237;643851;1260137;658068;
320781;831713;4637873;1468111;5691604;2241717;
328420;548627;949645;633064;1274996;586832;
895207;388288;2515328;1231333;3116417;1351375;
503211;713860;1263512;828848;1617749;730570;
412461;232896;491667;315357;730485;338722;
318321;781656;3903124;1367000;4540827;1912483;
338333;910653;3264332;1163472;3613240;1586303;
37670;154705;596741;370069;1001441;402559;
530871;31916;2509712;1025891;3090874;1326944;
415043;138966;4213568;1389596;4787636;2063981;
399201;612981;3076919;1102579;3564293;1553095;
195457;647273;3067217;1162111;3585167;1593427;
519877;51945;3479687;1236547;3875815;1701737;
95709;1032096;4383205;1452511;5017387;2167857;
249666;775531;3080662;1130070;3677590;1536427;
